"","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume","PNR.Adjusted"
"2010-04-26",26.010746,26.406984,26.010746,26.178644,1057700,21.634562
"2010-04-27",25.513767,25.513767,24.39221,24.647415,3250300,20.369122
"2010-04-28",24.788448,24.916052,24.39221,24.459368,1763700,20.318905
"2010-04-29",24.68771,25.110813,24.533243,24.942915,1023600,20.720594
"2010-04-30",25.010075,25.238415,24.251175,24.284756,1107900,20.173849
"2010-05-03",24.452652,24.922768,24.43922,24.822029,633100,20.620178
"2010-05-04",24.372063,24.513096,23.51914,23.599731,1075200,19.604784
"2010-05-05",23.384823,23.512424,22.948288,23.082605,1450500,19.175201
"2010-05-06",22.941572,23.263935,21.061115,22.169241,1929800,18.416452
"2010-05-07",22.08865,22.189388,21.329752,21.517797,4480900,17.875282
"2010-05-10",22.726662,23.002014,22.48489,22.813969,1663500,18.952032
"2010-05-11",22.552048,23.176628,22.511753,22.975151,2116700,19.085938
"2010-05-12",23.015446,23.975822,23.015446,23.868368,1104800,19.827951
"2010-05-13",23.740767,24.009403,23.546003,23.787777,822800,19.761009
"2010-05-14",23.572868,23.626595,22.995298,23.22364,1597100,19.292356
"2010-05-17",23.445265,23.532572,22.733377,23.19006,1172700,19.264456
"2010-05-18",23.418402,23.51914,22.914707,22.941572,886900,19.058039
"2010-05-19",22.78039,22.881128,22.196104,22.464741,916000,18.661926
"2010-05-20",21.84016,21.947617,21.255877,21.262592,1701400,17.663282
"2010-05-21",20.967093,21.826729,20.564137,21.820013,1784800,18.126339
"2010-05-24",21.719275,22.175957,21.605104,21.914036,1392300,18.204447
"2010-05-25",21.289455,22.034924,20.98724,22.034924,1814400,18.304869
"2010-05-26",22.196104,22.59906,22.001343,22.128946,1809800,18.382978
"2010-05-27",22.686367,23.257219,22.672935,23.257219,1483300,19.320253
"2010-05-28",23.210209,23.250504,22.8274,23.07589,1863400,19.169617
"2010-06-01",22.881128,23.196775,22.48489,22.505037,1440000,18.695402
"2010-06-02",22.578913,22.941572,22.330423,22.941572,1038200,19.058039
"2010-06-03",23.055742,23.169912,22.740093,22.854265,1392200,18.985514
"2010-06-04",22.337139,22.679651,21.994627,22.075218,1551600,18.338341
"2010-06-07",22.182673,22.182673,21.222298,21.235729,1257900,17.640963
"2010-06-08",21.323036,21.49765,20.98724,21.390194,904100,17.769283
"2010-06-09",21.598389,22.061787,21.262592,21.349899,630400,17.735809
"2010-06-10",21.813297,22.30356,21.806581,22.30356,693800,18.528028
"2010-06-11",21.97448,22.538616,21.920752,22.48489,687000,18.678654
"2010-06-14",22.652786,23.169912,22.625923,22.71323,626800,18.868355
"2010-06-15",22.860981,23.40497,22.807253,23.384823,562500,19.426254
"2010-06-16",23.324379,23.451981,23.022163,23.143049,866400,19.225414
"2010-06-17",23.196775,23.250504,22.773674,22.934856,929400,19.052456
"2010-06-18",22.96172,23.210209,22.800537,23.042311,555300,19.141724
"2010-06-21",23.391539,23.485561,22.753527,22.854265,508300,18.985514
"2010-06-22",22.948288,23.116186,22.290127,22.310276,541100,18.533615
"2010-06-23",22.263264,22.565479,21.97448,22.323708,584200,18.544773
"2010-06-24",22.229685,22.296843,21.786434,21.867025,431800,18.165392
"2010-06-25",21.994627,22.41773,21.773003,22.41773,1298100,18.622871
"2010-06-28",22.478174,22.740093,22.20282,22.585629,929200,18.76235
"2010-06-29",22.182673,22.182673,21.564808,21.732706,1898700,18.05381
"2010-06-30",21.652115,22.061787,21.537945,21.625252,1200400,17.96455
"2010-07-01",21.665546,21.739422,20.953661,21.276024,974800,17.674433
"2010-07-02",21.356615,21.490934,21.03425,21.202148,870100,17.613066
"2010-07-06",21.504366,21.564808,20.906649,21.087978,1021600,17.518217
"2010-07-07",21.10141,21.719275,21.014103,21.719275,920400,18.042654
"2010-07-08",22.008059,22.135662,21.779718,22.122231,487400,18.377394
"2010-07-09",22.075218,22.370718,21.940901,22.196104,387200,18.438772
"2010-07-12",22.041639,22.316992,21.719275,21.773003,505900,18.08729
"2010-07-13",22.108797,22.498322,22.102081,22.390867,1096600,18.600561
"2010-07-14",22.256548,22.343855,22.008059,22.310276,651200,18.533615
"2010-07-15",22.236401,22.256548,21.699127,22.068502,974400,18.33276
"2010-07-16",21.90732,21.947617,21.329752,21.437206,842400,17.808331
"2010-07-19",21.564808,21.799866,21.222298,21.759571,767100,18.076128
"2010-07-20",21.323036,21.97448,21.128275,21.914036,802800,18.204447
"2010-07-21",22.102081,22.330423,21.699127,21.826729,1002200,18.13192
"2010-07-22",22.155809,22.585629,22.122231,22.572197,1099100,18.751194
"2010-07-23",22.431162,23.129618,22.431162,23.07589,917300,19.169617
"2010-07-26",23.136333,23.47213,22.975151,23.169912,972700,19.247725
"2010-07-27",23.337811,23.458696,22.934856,23.015446,813700,19.11941
"2010-07-28",22.807253,23.015446,22.672935,22.834116,965400,19.074528
"2010-07-29",23.149765,23.794493,22.337139,22.766958,1707500,19.018429
"2010-07-30",22.538616,23.055742,22.48489,22.968435,1386100,19.186731
"2010-08-02",23.411686,23.962391,23.411686,23.505709,1384600,19.635544
"2010-08-03",23.371389,23.539288,23.062458,23.2908,826900,19.456015
"2010-08-04",23.391539,23.505709,23.216925,23.364674,1121500,19.517727
"2010-08-05",23.156481,23.331095,23.07589,23.183344,785400,19.366257
"2010-08-06",22.89456,23.122902,22.5319,22.820684,805900,19.063303
"2010-08-09",23.028879,23.028879,22.632639,22.854265,869400,19.091356
"2010-08-10",22.552048,22.64607,22.290127,22.444593,675700,18.749136
"2010-08-11",21.799866,21.934183,21.349899,21.49765,1133100,17.958107
"2010-08-12",21.014103,21.477501,21.000671,21.363331,866800,17.845901
"2010-08-13",21.329752,21.484217,21.175285,21.235729,414000,17.739305
"2010-08-16",21.148422,21.390194,20.819342,21.323036,495200,17.812244
"2010-08-17",21.524513,22.014774,21.390194,21.799866,850000,18.210558
"2010-08-18",21.799866,21.90732,21.531229,21.685696,684900,18.115191
"2010-08-19",21.490934,21.598389,20.732035,20.852921,1380800,17.419525
"2010-08-20",20.705172,20.899933,20.47683,20.893217,659100,17.453194
"2010-08-23",21.081263,21.134991,20.537273,20.611149,530900,17.217569
"2010-08-24",20.423103,20.423103,20.107454,20.120886,727500,16.808023
"2010-08-25",19.946272,20.423103,19.751511,20.382807,1261700,17.026821
"2010-08-26",20.429819,20.685024,20.335796,20.349228,1338100,16.998772
"2010-08-27",20.557421,20.913364,20.282068,20.832773,1207700,17.402699
"2010-08-30",20.69174,20.826057,20.423103,20.449966,978200,17.082924
"2010-08-31",20.369375,20.564137,20.080591,20.214909,970900,16.886564
"2010-09-01",20.51041,20.980524,20.449966,20.846205,955600,17.413918
"2010-09-02",20.893217,21.114841,20.745466,21.087978,923600,17.615891
"2010-09-03",21.457354,21.578241,21.188717,21.370047,853600,17.851507
"2010-09-07",21.255877,21.296171,21.014103,21.054399,1029000,17.587841
"2010-09-08",21.114841,21.437206,21.114841,21.356615,1410300,17.84029
"2010-09-09",21.61182,21.759571,21.410343,21.672264,1119200,18.103962
"2010-09-10",21.692411,21.927467,21.558092,21.685696,1286700,18.115191
"2010-09-13",21.920752,22.182673,21.900604,21.981195,821900,18.362043
"2010-09-14",21.900604,22.095366,21.799866,21.927467,694100,18.31715
"2010-09-15",21.927467,22.055071,21.759571,21.987911,428500,18.367647
"2010-09-16",21.940901,22.081934,21.86031,21.97448,702800,18.356432
"2010-09-17",22.028208,22.102081,21.752853,22.048355,884100,18.418142
"2010-09-20",22.095366,22.431162,21.967764,22.377434,1170300,18.693039
"2010-09-21",22.364002,22.41773,22.135662,22.229685,905900,18.569613
"2010-09-22",22.122231,22.283411,21.893888,22.055071,971200,18.423748
"2010-09-23",21.826729,22.075218,21.665546,21.84016,1050300,18.244225
"2010-09-24",22.142378,22.350571,22.02149,22.296843,1382000,18.625713
"2010-09-27",22.30356,22.390867,22.068502,22.182673,523800,18.53034
"2010-09-28",22.283411,22.323708,21.900604,22.189388,901700,18.53595
"2010-09-29",22.075218,22.632639,22.041639,22.5319,1202500,18.822067
"2010-09-30",22.699799,22.928141,22.397583,22.585629,1104900,18.866951
"2010-10-01",22.760242,22.8274,22.370718,22.545332,643000,18.833288
"2010-10-04",22.471457,22.64607,22.008059,22.142378,701600,18.496677
"2010-10-05",22.370718,23.089321,22.370718,23.062458,998000,19.265278
"2010-10-06",23.055742,23.163197,22.854265,23.156481,868900,19.343813
"2010-10-07",23.2908,23.337811,22.955004,23.10947,621500,19.304548
"2010-10-08",23.116186,23.331095,22.948288,23.284082,784100,19.450405
"2010-10-11",23.304232,23.619879,23.143049,23.317663,738600,19.478456
"2010-10-12",23.19006,23.22364,22.793821,22.968435,1045500,19.186731
"2010-10-13",23.149765,23.593016,23.035595,23.451981,888100,19.590658
"2010-10-14",23.451981,23.572868,23.183344,23.304232,451300,19.467237
"2010-10-15",23.458696,23.505709,23.00873,23.304232,616200,19.467237
"2010-10-18",23.317663,23.51914,23.19006,23.498993,496500,19.629929
"2010-10-19",23.169912,23.344526,22.719946,22.887844,871300,19.11941
"2010-10-20",22.948288,23.310947,22.887844,23.176628,558000,19.360643
"2010-10-21",23.250504,23.485561,23.096037,23.230356,798500,19.405529
"2010-10-22",23.304232,23.304232,23.049026,23.096037,622600,19.293325
"2010-10-25",23.243788,23.99597,23.216925,23.807924,1548700,19.888004
"2010-10-26",23.371389,23.391539,21.417059,22.30356,3412400,18.631325
"2010-10-27",21.920752,22.001343,21.531229,21.967764,1797600,18.456411
"2010-10-28",21.954332,21.987911,21.531229,21.759571,1459800,18.281496
"2010-10-29",21.658831,22.061787,21.645399,21.981195,1095000,18.467693
"2010-11-01",22.095366,22.30356,21.658831,21.880457,848800,18.383055
"2010-11-02",22.095366,22.337139,21.961048,22.263264,942500,18.704672
"2010-11-03",22.290127,22.5319,22.189388,22.437878,1117400,18.851376
"2010-11-04",22.726662,22.847549,22.578913,22.793821,853400,19.150423
"2010-11-05",22.813969,22.867697,22.639355,22.746809,1057700,19.110928
"2010-11-08",22.71323,22.726662,22.404299,22.572197,791100,18.964228
"2010-11-09",22.605776,22.679651,22.028208,22.122231,825200,18.586187
"2010-11-10",22.155809,22.437878,21.920752,22.236401,782300,18.6821
"2010-11-11",22.095366,22.478174,22.034924,22.229685,685800,18.676462
"2010-11-12",22.028208,22.149094,21.873741,22.041639,622500,18.518473
"2010-11-15",22.175957,22.431162,22.014774,22.061787,614300,18.5354
"2010-11-16",21.880457,21.914036,21.625252,21.806581,1196200,18.320992
"2010-11-17",21.873741,21.873741,21.551376,21.705843,741000,18.236353
"2010-11-18",21.961048,22.135662,21.853594,21.873741,654700,18.377411
"2010-11-19",21.826729,21.920752,21.571524,21.846878,1093300,18.354843
"2010-11-22",21.759571,21.987911,21.652115,21.914036,1141000,18.411264
"2010-11-23",21.658831,21.880457,21.537945,21.833445,711700,18.343557
"2010-11-24",22.034924,22.249832,21.987911,22.222969,429500,18.670824
"2010-11-26",22.02149,22.350571,21.961048,22.236401,440500,18.6821
"2010-11-29",22.075218,22.081934,21.544661,22.02149,655900,18.501549
"2010-11-30",21.813297,22.464741,21.732706,22.095366,1411200,18.563612
"2010-12-01",22.41773,22.706514,22.41773,22.505037,892500,18.907799
"2010-12-02",22.505037,22.89456,22.471457,22.820684,651200,19.172997
"2010-12-03",22.78039,22.948288,22.639355,22.860981,967200,19.206854
"2010-12-06",22.914707,23.163197,22.78039,23.015446,470300,19.336626
"2010-12-07",23.169912,23.613163,23.122902,23.40497,1211500,19.663889
"2010-12-08",23.378105,23.673607,23.324379,23.505709,822800,19.748524
"2010-12-09",23.5863,23.646742,23.364674,23.640026,843800,19.861372
"2010-12-10",23.65346,23.942244,23.65346,23.841505,719400,20.030645
"2010-12-13",23.922096,24.190733,23.727333,24.096708,1014300,20.245054
"2010-12-14",24.096708,24.197449,23.8818,24.029551,937000,20.188627
"2010-12-15",24.022835,24.204165,23.895231,23.901947,504900,20.081425
"2010-12-16",24.002686,24.43922,23.848221,24.432505,1352600,20.52718
