"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"2015-04-22",169.789993,170.779999,168.679993,170.009995,1053900,163.281601
"2015-04-23",169.050003,170.929993,169.050003,170.100006,1050400,163.368011
"2015-04-24",169.729996,170.25,169.009995,169.949997,949300,163.223969
"2015-04-27",170.360001,170.610001,168.860001,169.029999,1472100,162.340332
"2015-04-28",169.270004,171.960007,168.509995,171.240005,1521100,164.462906
"2015-04-29",169.839996,170.940002,168.720001,169.570007,1115300,162.858978
"2015-04-30",168.389999,169.949997,168.360001,169.570007,1818800,162.858978
"2015-05-01",170,171.929993,169.929993,171.729996,1163900,164.933487
"2015-05-04",171.610001,173.479996,171.509995,172.330002,1041100,165.509781
"2015-05-05",171.5,172.330002,169.509995,169.809998,1167000,163.089478
"2015-05-06",170.690002,170.770004,168.460007,169.559998,1045200,162.84938
"2015-05-07",169.869995,172.610001,169.580002,171.740005,1148700,164.9431
"2015-05-08",172.990005,174.089996,172.779999,173.350006,1236400,166.489365
"2015-05-11",174.009995,174.979996,172.759995,174.199997,1327500,167.305756
"2015-05-12",173.160004,173.699997,172.440002,173.419998,1126200,166.55661
"2015-05-13",172.990005,173.5,171.669998,171.929993,1213800,165.12558
"2015-05-14",172.839996,174,172.110001,173.449997,1478000,166.585434
"2015-05-15",174.210007,175.289993,173.5,175.139999,1492200,168.208511
"2015-05-18",175.139999,177.429993,175.009995,177.179993,1558000,170.167801
"2015-05-19",177.509995,178.699997,177,177.979996,1237000,170.936142
"2015-05-20",177.710007,178.789993,177.149994,177.520004,941300,170.494339
"2015-05-21",176.910004,177.25,175.479996,176.550003,1112300,169.562744
"2015-05-22",176.479996,176.720001,174.679993,175.179993,775000,168.246933
"2015-05-26",175,175.039993,173.779999,174.110001,953600,167.219299
"2015-05-27",174.630005,176.889999,173.919998,176.660004,808800,169.668381
"2015-05-28",176.110001,176.149994,174.550003,175.100006,1300300,168.170151
"2015-05-29",174.520004,174.880005,173,173.220001,1158200,166.364517
"2015-06-01",173.869995,175.979996,172.919998,175.369995,1272000,168.429398
"2015-06-02",174.539993,176.649994,173.100006,175.720001,1001400,168.765594
"2015-06-03",176.5,180.289993,175.720001,179.919998,1930900,172.799362
"2015-06-04",178.899994,179.990005,178.770004,179.630005,1355000,172.520844
"2015-06-05",179.520004,183.029999,178.600006,182.240005,1940400,175.027542
"2015-06-08",181.919998,182,179.639999,179.889999,1617700,172.770554
"2015-06-09",179.949997,181.600006,179,180.369995,991300,173.231537
"2015-06-10",180.339996,183.899994,179.690002,182.320007,1869400,175.104355
"2015-06-11",184.289993,185.190002,182.839996,184.979996,1918600,177.659119
