"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2015-11-04",160.940002,161.520004,158.75,160.990005,714900,143.769897
"2015-11-05",161.020004,161.479996,156.710007,158.660004,1027700,141.689072
"2015-11-06",158,158.600006,152.350006,156.449997,1239100,139.715469
"2015-11-09",155.330002,156.990005,153.550003,155.5,698000,138.867142
"2015-11-10",155.050003,157.029999,153.240005,156.850006,478900,140.072723
"2015-11-11",156.619995,159.350006,156.050003,158.919998,646100,141.921295
"2015-11-12",157.160004,157.160004,155.100006,155.5,800800,138.867142
"2015-11-13",154.429993,156.029999,150.410004,151.070007,803100,134.91095
"2015-11-16",151.289993,155.100006,150.440002,154.699997,1043900,138.152649
"2015-11-17",156.830002,161.080002,156.169998,157.270004,935000,140.447815
"2015-11-18",157.279999,158.660004,155.509995,158.050003,753800,141.956741
"2015-11-19",158.75,160.089996,158.089996,159.720001,635000,143.456696
"2015-11-20",160.389999,162.449997,159.210007,162.270004,843100,145.747025
"2015-11-23",165.080002,166.899994,163.630005,164.479996,1044400,147.731979
"2015-11-24",163.380005,165.669998,163.059998,164.690002,665700,147.920609
"2015-11-25",164.889999,167.380005,164.050003,166.820007,592300,149.833725
"2015-11-27",166.5,167.720001,165.520004,166.289993,305400,149.357697
"2015-11-30",166.490005,167.380005,162.240005,162.520004,731700,145.971588
"2015-12-01",163.649994,164.610001,161.449997,163.259995,659300,146.636215
"2015-12-02",163.800003,164.050003,160.589996,161.410004,753000,144.974594
"2015-12-03",162.210007,162.210007,155.009995,157.610001,916800,141.561523
"2015-12-04",157.729996,161,157.440002,160.190002,1005700,143.878799
"2015-12-07",159.479996,160.210007,155.039993,157.860001,877100,141.786087
"2015-12-08",156.5,159.429993,156.5,157.660004,758300,141.60643
"2015-12-09",155.940002,156.270004,147.5,148.25,1776600,133.154587
"2015-12-10",148.75,150.440002,146.759995,149.169998,991400,133.980942
"2015-12-11",146.740005,148.589996,145.839996,146.100006,1012700,131.223526
"2015-12-14",146.610001,147.929993,142.789993,144.029999,987600,129.364288
"2015-12-15",145.100006,146.889999,143.860001,145.039993,824100,130.271439
"2015-12-16",146.729996,153.630005,146.009995,153.100006,1462500,137.510727
"2015-12-17",153.350006,154.350006,146.970001,147.029999,811000,132.058807
"2015-12-18",146.089996,146.75,142.179993,142.270004,1805300,127.783531
"2015-12-21",142.990005,146.690002,142.990005,146.580002,941100,131.654678
"2015-12-22",147.080002,147.320007,143.029999,146.940002,958000,131.977982
"2015-12-23",148.059998,150.279999,146.759995,150.139999,681500,134.852127
"2015-12-24",150.039993,150.720001,148.880005,149.570007,313900,134.340179
"2015-12-28",149.059998,149.770004,146.449997,148.979996,601300,133.810242
"2015-12-29",150.059998,150.529999,147.460007,150.160004,643300,134.870102
"2015-12-30",149.369995,150.179993,147.5,148.570007,444700,133.442017
"2015-12-31",148.119995,148.75,146.850006,146.869995,379300,131.915115
"2016-01-04",144.399994,148.190002,142.600006,148.089996,1097700,133.010864
"2016-01-05",148.649994,149.660004,144.639999,144.899994,984100,130.145676
"2016-01-06",142.789993,144.470001,140.399994,141.199997,892400,126.822456
"2016-01-07",138.279999,140.669998,137.529999,137.649994,1274600,123.633926
"2016-01-08",139.119995,139.869995,135.259995,135.559998,815300,121.756752
"2016-01-11",136.490005,137.449997,132.449997,134.410004,934100,120.723854
"2016-01-12",135.759995,136.350006,131.380005,134.309998,801000,120.634033
"2016-01-13",134.820007,135.800003,129.679993,129.960007,1157900,116.726967
"2016-01-14",131.039993,135.070007,129.899994,134.029999,1223000,120.382545
"2016-01-15",129.970001,130.720001,125.690002,128.639999,1461300,115.541367
"2016-01-19",130,131.5,125.790001,127.209999,1373500,114.256973
"2016-01-20",124.989998,132.050003,123.599998,130.630005,1627800,117.328743
"2016-01-21",131.630005,136.729996,131.479996,133.369995,1218300,119.789742
"2016-01-22",135.970001,137.460007,130.990005,133.580002,1581200,119.97834
"2016-01-25",132.740005,134.539993,131.050003,133.220001,1268400,119.655022
"2016-01-26",133.759995,136.679993,132.940002,134.25,1071100,120.580147
"2016-01-27",133.270004,135.279999,131.339996,132.369995,1312800,118.891556
"2016-01-28",134,136.070007,131.529999,132.020004,1945400,118.577217
"2016-01-29",134.669998,139.050003,132.039993,134.389999,2871800,120.705872
"2016-02-01",134.520004,138.229996,132.259995,135.419998,1975300,121.631004
"2016-02-02",134.5,134.850006,131.770004,132.190002,1433100,118.729904
"2016-02-03",133.839996,135.119995,131.559998,135.080002,1310800,121.325623
"2016-02-04",136.860001,141.080002,136.720001,139.800003,1411000,125.565002
"2016-02-05",139.710007,141.509995,137.100006,137.820007,898900,123.786644
"2016-02-08",136.729996,137.080002,132.800003,135.240005,1119600,121.469345
"2016-02-09",133.339996,138.080002,133.339996,137.039993,1058300,123.086044
"2016-02-10",138.220001,138.479996,134.289993,134.360001,796800,120.67894
"2016-02-11",131.449997,133.070007,128.240005,129.740005,1182900,116.529373
"2016-02-12",131.800003,132.779999,130.279999,132.190002,1128500,118.729904
"2016-02-16",134,135.960007,131.339996,135.449997,1382500,121.657959
"2016-02-17",136.600006,139.75,136.270004,138.850006,906000,124.711769
"2016-02-18",138.899994,140.679993,137.470001,140.479996,841900,126.175789
"2016-02-19",139.289993,143.5,139.289993,142.910004,1254700,128.358322
"2016-02-22",145.110001,148.839996,144.800003,148.210007,1247600,133.118637
"2016-02-23",148,150.940002,147.360001,150.139999,1217800,134.852127
"2016-02-24",148.220001,151.619995,146.199997,151.279999,1129200,136.69548
"2016-02-25",151.919998,152.619995,148.919998,151.869995,1108300,137.228577
"2016-02-26",152.119995,155.75,151.880005,154.550003,924400,139.650223
"2016-02-29",154.509995,157.789993,153.880005,155.320007,1148200,140.345993
"2016-03-01",156.490005,158.070007,155.320007,157.520004,684900,142.333923
"2016-03-02",157.300003,159,157.029999,158.820007,748900,143.50856
"2016-03-03",158.970001,159.039993,155.800003,158.050003,1012800,142.812805
"2016-03-04",158.679993,162.179993,157.220001,161.160004,1106500,145.622986
"2016-03-07",160.5,161.440002,158.509995,159.149994,1048200,143.806763
"2016-03-08",158.490005,159.779999,155.899994,158.550003,946100,143.264587
"2016-03-09",158.649994,159.779999,156.929993,158.580002,718000,143.291718
"2016-03-10",159.570007,160.800003,156.619995,158.330002,879400,143.065811
"2016-03-11",160.380005,165.839996,160.240005,164.699997,1373700,148.821732
"2016-03-14",163.649994,167.699997,163,166.039993,963900,150.032501
"2016-03-15",166.449997,170.550003,165.309998,168.839996,1545100,152.562576
"2016-03-16",167.050003,175,166.039993,174.220001,1388000,157.42392
"2016-03-17",173.839996,177.990005,173.059998,176.649994,1053000,159.619614
"2016-03-18",177.179993,179.649994,176.699997,177.929993,1640800,160.776215
"2016-03-21",178.220001,179.539993,176.300003,177.460007,739900,160.351563
"2016-03-22",177.190002,178.160004,175.300003,177.169998,734100,160.089493
"2016-03-23",176.699997,177.050003,174.830002,175.009995,673800,158.137711
"2016-03-24",174,175.220001,172.220001,175.089996,809500,158.210022
"2016-03-28",175.630005,178.070007,175.509995,176.990005,577800,159.926865
"2016-03-29",176.509995,177.800003,173.759995,177.289993,874600,160.197922
"2016-03-30",178.600006,178.880005,176.699997,177.350006,961400,160.252151
"2016-03-31",177,180.589996,176.570007,180.339996,1198200,162.953903
"2016-04-01",180.119995,183.740005,179.199997,183.309998,1567900,165.637527
"2016-04-04",183.940002,184.690002,182.070007,182.979996,1010700,165.339371
"2016-04-05",181.800003,184.160004,180.029999,181.160004,858400,163.694839
"2016-04-06",181.660004,183.410004,180.830002,182.350006,671000,164.770096
"2016-04-07",181.509995,182.509995,178.5,180.440002,912500,163.04425
"2016-04-08",182.240005,183.570007,181.270004,182.589996,6e+05,164.986969
"2016-04-11",182.240005,185.559998,181.820007,183.520004,700200,165.827286
"2016-04-12",183.710007,185.990005,182.589996,185.169998,502300,167.318222
"2016-04-13",185.949997,187.699997,185.309998,187.330002,677300,169.269989
"2016-04-14",187.460007,187.580002,183.610001,186.130005,858200,168.185699
"2016-04-15",186.360001,187.460007,184.970001,186.399994,793900,168.429626
"2016-04-18",186.600006,190.679993,186.509995,190,896400,171.682602
"2016-04-19",192.270004,193.589996,187.050003,190.149994,1137100,171.81813
"2016-04-20",190.460007,192.039993,188.059998,188.460007,1031000,170.291046
"2016-04-21",188.869995,189.669998,187.210007,187.449997,612900,169.378433
"2016-04-22",187.449997,188.009995,186.279999,187.309998,878700,169.251938
"2016-04-25",187.320007,188.5,185.119995,186.039993,1002500,168.10437
"2016-04-26",174.800003,179.639999,171.199997,179.429993,3337200,162.131607
"2016-04-27",180.169998,182,175.860001,178.25,1311600,161.065399
"2016-04-28",176.809998,178.639999,174.089996,174.779999,852800,157.929886
"2016-04-29",174.779999,175.289993,173.080002,174.139999,883100,157.351624
"2016-05-02",175,178.029999,174.410004,176.809998,920200,159.764221
"2016-05-03",175.130005,178.210007,174.089996,176.889999,991400,159.836502
"2016-05-04",175.440002,178.059998,174.009995,175.179993,960000,158.291351
"2016-05-05",175.309998,177.630005,175.070007,176.289993,729500,159.294312
"2016-05-06",175.070007,177.470001,174.820007,176.699997,564500,159.66478
"2016-05-09",176.5,177.419998,174.009995,175.089996,732800,158.210022
"2016-05-10",176.360001,178.320007,175.25,177.279999,687800,160.188873
"2016-05-11",176.229996,176.839996,172.009995,172.369995,745900,155.752228
"2016-05-12",172.559998,174.169998,169.330002,171.539993,796700,155.002258
"2016-05-13",171.690002,172.889999,168.320007,168.720001,789100,152.454147
"2016-05-16",168.559998,168.860001,165.059998,167.580002,1760100,151.424026
"2016-05-17",167.139999,171.279999,166.660004,169.75,1172300,153.384827
"2016-05-18",168.229996,170.050003,166.029999,166.979996,785600,151.776016
"2016-05-19",165.979996,167.880005,164.589996,167.669998,819800,152.403152
"2016-05-20",168.539993,169.270004,166.539993,168.100006,888700,152.794022
"2016-05-23",167.979996,169.029999,166.610001,166.869995,538400,151.676025
"2016-05-24",167.979996,175.169998,167.979996,174.25,1545800,158.384033
"2016-05-25",174.559998,176.460007,173.589996,174.389999,691900,158.511322
"2016-05-26",173.860001,175.210007,171.559998,172.25,625700,156.566147
"2016-05-27",172.279999,175.389999,172.279999,174.610001,503800,158.711273
"2016-05-31",174.809998,174.940002,173.179993,174.619995,772600,158.720352
"2016-06-01",173.360001,175.389999,172.289993,175.229996,500200,159.274796
"2016-06-02",175.220001,175.800003,173.25,175.029999,526300,159.093018
"2016-06-03",173.759995,174.740005,172.199997,173.809998,608300,157.9841
"2016-06-06",173.899994,175.949997,172.75,174.830002,498700,158.911224
"2016-06-07",174.610001,179.350006,174.309998,177.929993,857000,161.728958
"2016-06-08",178.320007,181.190002,177.820007,181.110001,838000,164.619431
"2016-06-09",180.270004,180.559998,177.899994,179.690002,559000,163.328735
"2016-06-10",178.529999,178.699997,176.539993,177.520004,565900,161.356308
"2016-06-13",177.160004,178.020004,174.830002,175.009995,838400,159.074829
"2016-06-14",174.380005,175.240005,172.440002,174.860001,711600,158.938507
"2016-06-15",175.660004,178.520004,174.25,176.300003,1047600,160.247391
"2016-06-16",175.740005,175.740005,172.520004,174.429993,923700,158.547668
"2016-06-17",174.550003,176.429993,173.910004,175.639999,956900,159.647476
"2016-06-20",177.360001,180.419998,177.360001,177.729996,720300,161.547165
"2016-06-21",178.509995,179.179993,176.350006,177.179993,642700,161.047211
"2016-06-22",177.929993,179.729996,177.339996,178.199997,480200,161.974365
"2016-06-23",180.380005,181.009995,177.460007,178.800003,695900,162.519791
"2016-06-24",170.800003,170.889999,160.970001,162.570007,2818500,147.767532
"2016-06-27",160.5,160.5,152.190002,154.460007,1821800,140.395996
"2016-06-28",159.130005,161.610001,158.429993,161.039993,1718500,146.376816
"2016-06-29",163.050003,165.740005,162.199997,163.889999,926800,148.967316
"2016-06-30",163.869995,166.639999,161.809998,166.639999,876200,151.466949
"2016-07-01",167,169.419998,166.369995,167.270004,717400,152.039581
"2016-07-05",166.259995,166.929993,161.970001,163.960007,629900,149.030991
"2016-07-06",163.419998,166.600006,162.699997,166.419998,846200,151.267029
"2016-07-07",166.880005,168.75,165.610001,167.880005,478100,152.59404
"2016-07-08",169.880005,172.660004,168.539993,171.380005,721300,155.77536
"2016-07-11",171.830002,173.289993,170.300003,172.720001,673100,156.993347
"2016-07-12",174.75,174.830002,172.470001,173.720001,554400,157.902313
"2016-07-13",174.399994,174.669998,171.639999,173.789993,470000,157.965927
