"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2010-07-12",89.93,90.019997,88.25,89.120003,608900,70.279419
"2010-07-13",90.199997,91.690002,89.830002,91.510002,890400,72.164146
"2010-07-14",90.779999,91.150002,88.940002,89.940002,717000,70.926056
"2010-07-15",89.940002,90.339996,87.449997,88.779999,595800,70.011276
"2010-07-16",87.559998,87.949997,85.5,85.730003,1165000,67.606087
"2010-07-19",86.5,86.690002,84.779999,86.080002,628700,67.88208
"2010-07-20",84.599998,85.5,83.5,85.080002,1387700,67.093513
"2010-07-21",87.32,89.25,82.849998,83.5,1440700,65.847519
"2010-07-22",84.720001,87.330002,84.339996,86.68,906800,68.355263
"2010-07-23",86.639999,89.989998,86.010002,89.559998,1111600,70.626411
"2010-07-26",90,92.5,89.059998,92.379997,932700,72.850235
"2010-07-27",93.300003,93.470001,89.699997,89.849998,621700,70.85508
"2010-07-28",89.82,90.540001,87.5,87.830002,531600,69.262108
"2010-07-29",88.5,88.980003,85.519997,87,1199000,68.607582
"2010-07-30",86.349998,88.650002,85.599998,87.339996,735300,68.875702
"2010-08-02",88.779999,90.32,88.239998,89.559998,645500,70.626411
"2010-08-03",89.489998,89.779999,87.860001,87.989998,436900,69.388298
"2010-08-04",88.879997,88.889999,87.5,88.599998,584600,69.869316
"2010-08-05",87.5,88.040001,86.5,87.669998,432500,69.135948
"2010-08-06",86.889999,87.040001,85.010002,86.879997,609000,68.512955
"2010-08-09",87.599998,88.379997,86.610001,87.949997,436600,69.356735
"2010-08-10",87.089996,88.599998,86.410004,87.910004,449600,69.325203
"2010-08-11",86.57,86.650002,84.389999,84.389999,787100,66.549393
"2010-08-12",83.489998,85.610001,83.370003,85.190002,953500,67.180252
"2010-08-13",85.379997,86.080002,84.809998,85.349998,865300,67.306412
"2010-08-16",84.940002,85.650002,84.489998,85.449997,617600,67.385284
"2010-08-17",88.330002,92.360001,88,90.43,1913900,71.312439
"2010-08-18",90,91.150002,88.93,90.050003,1256900,71.012779
"2010-08-19",90.120003,90.32,88.07,89.309998,996500,70.429222
"2010-08-20",88.470001,89.900002,88.050003,89.760002,672200,70.784111
"2010-08-23",89.709999,90.900002,88.709999,88.779999,485900,70.011276
"2010-08-24",87.489998,88.400002,87.029999,87.370003,609400,68.899368
"2010-08-25",87,87.860001,85.639999,86.809998,620200,68.457748
"2010-08-26",87.040001,88.440002,86.449997,86.650002,459600,68.331566
"2010-08-27",87.150002,88.050003,85.980003,87.779999,438600,69.222679
"2010-08-30",87.160004,87.160004,84.949997,84.949997,468500,67.529488
"2010-08-31",84.809998,86.529999,84.379997,85.639999,721000,68.077988
"2010-09-01",86.150002,87.879997,86.089996,87.489998,748800,69.548622
"2010-09-02",88.080002,88.290001,86.900002,87.279999,677400,69.381683
"2010-09-03",88.339996,88.940002,87.68,88.93,479200,70.693314
"2010-09-07",88.089996,88.400002,84.669998,84.699997,808000,67.33075
"2010-09-08",84.720001,86.989998,84.720001,85.459999,614300,67.934906
"2010-09-09",86.989998,88.400002,86.43,87.209999,650100,69.326027
"2010-09-10",87.919998,87.919998,85.690002,86.57,399900,68.817268
"2010-09-13",88.279999,88.489998,87.120003,88.389999,596300,70.264046
"2010-09-14",88.300003,88.440002,86.5,87.900002,488700,69.87455
"2010-09-15",87.5,87.709999,86.199997,87.400002,629100,69.477081
