"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2011-07-06",47.13784,47.655838,47.032486,47.410007,2379500,39.021328
"2011-07-07",47.726074,48.305531,47.699738,48.305531,3195500,39.758389
"2011-07-08",47.805092,48.200176,47.208076,47.848991,3130300,39.382641
"2011-07-11",47.427567,47.559261,47.120281,47.295872,2290400,38.927387
"2011-07-12",47.348553,47.585602,46.971027,47.243195,2611700,38.884033
"2011-07-13",47.436348,47.664619,47.023705,47.13784,1987800,38.797325
"2011-07-14",47.260754,47.515366,46.681301,46.786655,2128300,38.508263
"2011-07-15",46.865673,47.050045,46.286217,46.62862,3044400,38.378201
"2011-07-18",46.303776,46.45303,45.645302,45.952591,2230200,37.821777
"2011-07-19",46.277435,46.690079,45.996487,46.558384,2613800,38.3204
"2011-07-20",46.23354,46.523266,45.961369,46.066727,2288400,37.915718
"2011-07-21",46.23354,47.093941,46.154522,46.663738,2702000,38.407104
"2011-07-22",46.760315,46.909569,46.45303,46.733978,1887700,38.464912
"2011-07-25",46.444248,46.663738,46.128181,46.496925,2776500,38.269806
"2011-07-26",46.558384,46.900791,46.470589,46.690079,3317300,38.428776
"2011-07-27",46.575943,46.575943,45.899914,45.987709,4268100,37.850685
"2011-07-28",45.724319,45.987709,45.179981,45.46093,2878900,37.417122
"2011-07-29",45.346794,45.654083,44.846355,45.206322,3313900,37.207565
"2011-08-01",45.443371,45.601406,44.07375,44.468834,3906000,36.600552
"2011-08-02",44.126427,44.486393,43.511852,43.54697,4827800,35.841816
"2011-08-03",43.564529,43.76646,43.134327,43.608429,4262000,35.892391
"2011-08-04",43.134327,43.318699,42.036873,42.036873,5298700,34.5989
"2011-08-05",42.37928,42.985073,41.229149,42.493416,8121100,34.974674
"2011-08-08",41.597893,42.256367,40.070236,40.079018,9775000,32.98748
"2011-08-09",41.000877,41.229149,39.534679,41.088673,12158100,33.818474
"2011-08-10",40.447762,40.632133,39.262512,39.341526,10187300,32.380474
"2011-08-11",39.666374,41.553993,39.543461,41.088673,6959200,33.818474
"2011-08-12",41.308167,41.8964,40.877964,41.501316,4912100,34.158108
"2011-08-15",41.571552,42.045654,41.264267,42.036873,3713200,34.5989
"2011-08-16",41.43108,42.273926,41.360844,42.115891,4477200,34.66394
"2011-08-17",42.221245,42.537312,41.668129,42.001755,4009000,34.570004
"2011-08-18",40.746269,41.21159,40.237049,40.755047,7277600,33.543892
"2011-08-19",40.272167,41.316944,40.210712,40.667252,7058300,33.471622
"2011-08-22",41.562775,41.694469,40.877964,41.000877,3961200,33.746223
"2011-08-23",39.657593,42.414398,39.657593,42.37928,3904400,34.88073
"2011-08-24",42.212467,42.853378,41.992977,42.809483,3915400,35.234814
"2011-08-25",43.020195,43.020195,42.028095,42.098331,6523600,34.649494
"2011-08-26",42.247585,42.86216,41.334503,42.739246,5433400,35.177006
"2011-08-29",43.116768,43.380157,43.055313,43.37138,8787400,35.697285
"2011-08-30",43.257244,43.985954,43.037754,43.76646,3246300,36.022465
"2011-08-31",44.05619,44.468834,43.652328,43.924496,4335800,36.152538
"2011-09-01",44.100086,44.416153,43.529411,43.599648,3306100,35.885178
"2011-09-02",43.020195,43.10799,42.467075,42.589993,3281400,35.054165
"2011-09-06",41.571552,42.230026,41.334503,42.151009,3844300,34.692841
"2011-09-07",42.35294,43.037754,42.13345,43.037754,2821100,35.690319
"2011-09-08",42.949955,43.230904,42.616329,42.765583,3147900,35.464615
"2011-09-09",42.309044,42.475857,41.422298,41.808605,4583100,34.671009
"2011-09-12",41.43108,42.467075,41.264267,42.414398,4041300,35.173393
"2011-09-13",42.563652,42.765583,42.098331,42.669006,3466300,35.384525
"2011-09-14",42.993855,43.854259,42.335381,43.37138,4184700,35.966988
"2011-09-15",43.845478,44.381035,43.345039,44.372257,3421100,36.797005
"2011-09-16",44.670765,44.951714,44.091309,44.565407,6264200,36.957165
"2011-09-19",43.977173,44.661983,43.81036,44.451275,2977100,36.86253
"2011-09-20",44.714661,45.127304,44.372257,44.530289,2746100,36.928047
"2011-09-21",44.51273,44.530289,43.125549,43.125549,4247900,35.76313
"2011-09-22",42.019314,42.651447,41.115013,41.606674,8672200,34.503559
"2011-09-23",41.466198,41.633011,40.956982,41.229149,5469500,34.190483
"2011-09-26",41.580334,41.957859,40.965759,41.922741,4694000,34.765659
"2011-09-27",42.712906,42.941177,42.071995,42.168568,5171200,34.969517
"2011-09-28",42.273926,42.546093,41.817383,41.852501,4376900,34.707413
"2011-09-29",42.458298,42.774364,41.562775,42.247585,4002300,35.035049
"2011-09-30",41.782265,41.992977,41.369621,41.395962,4349300,34.328812
"2011-10-03",40.9921,42.045654,40.790165,40.798946,6441300,33.833725
"2011-10-04",40.351185,41.633011,40.254608,41.553993,5494800,34.459873
"2011-10-05",41.668129,42.37928,41.044777,42.273926,4883800,35.056896
"2011-10-06",42.256367,42.844601,41.799824,42.835819,3061100,35.522861
"2011-10-07",43.187008,43.450394,42.64267,42.897278,3636400,35.573822
"2011-10-10",43.520634,43.898155,43.257244,43.871819,3099400,36.381992
"2011-10-11",43.76646,44.381035,43.59087,44.143986,2861000,36.607685
"2011-10-12",44.495171,45.179981,44.372257,44.969273,3484000,37.292088
"2011-10-13",44.688324,44.837578,44.407375,44.679543,3523400,37.05183
"2011-10-14",45.215099,45.46093,44.907814,45.408253,2463700,37.656124
"2011-10-17",45.083408,45.285339,44.670765,44.776119,2643300,37.131905
"2011-10-18",44.776119,45.592625,44.424934,45.408253,4094200,37.656124
"2011-10-19",45.276558,45.627743,44.855137,44.907814,3651000,37.241127
"2011-10-20",45.100967,45.373135,44.460052,44.916592,3746200,37.248409
"2011-10-21",45.285339,45.891132,45.171204,45.873573,3292200,38.042004
"2011-10-24",45.873573,46.479366,45.856014,46.23354,2442500,38.340527
"2011-10-25",46.066727,46.347672,45.592625,45.715542,5563100,37.910957
"2011-10-26",46.198421,46.198421,43.59087,44.618088,6026900,37.000862
"2011-10-27",45.610184,46.444248,45.46093,46.330112,5498000,38.420601
"2011-10-28",46.128181,46.40913,45.873573,46.180859,3026400,38.296822
"2011-10-31",45.759438,46.62862,45.610184,45.94381,5305000,38.100258
"2011-11-01",45.223881,45.258999,44.302021,44.503952,4792000,36.9062
"2011-11-02",44.495171,45.065845,44.310799,44.73222,2948800,37.095505
"2011-11-03",44.925373,45.987709,44.793678,45.785778,3511900,37.9692
"2011-11-04",45.46093,45.557507,44.828796,45.329235,3053600,37.590591
"2011-11-07",45.19754,45.592625,44.828796,45.469711,2648400,37.707088
"2011-11-08",45.899914,46.435471,45.329235,46.400352,3080500,38.478851
"2011-11-09",45.627743,45.627743,44.407375,44.591747,3315000,36.979012
"2011-11-10",45.171204,45.223881,44.547848,44.942932,2303100,37.270241
"2011-11-11",45.329235,45.864792,45.285339,45.794556,1717000,37.976482
"2011-11-14",45.618965,45.741879,45.171204,45.338017,1717900,37.59787
"2011-11-15",45.118526,46.136963,45.100967,46.040386,2283000,38.180332
"2011-11-16",45.566288,45.917473,44.635647,44.714661,3194000,37.08094
"2011-11-17",44.495171,44.600525,43.608429,43.924496,4061500,36.425671
"2011-11-18",43.985954,44.187885,43.687447,43.801579,2837300,36.323746
"2011-11-21",43.520634,43.520634,42.853378,43.239685,2973000,35.857777
"2011-11-22",43.064091,43.125549,42.616329,42.81826,2106900,35.508305
"2011-11-23",42.510975,42.537312,41.9403,42.019314,2440500,34.845757
"2011-11-25",41.834942,42.335381,41.791046,42.080772,1783600,34.896721
"2011-11-28",42.572433,43.08165,42.572433,42.923618,3257500,35.595657
"2011-11-29",43.046532,43.090431,42.616329,42.809483,2555200,35.501026
"2011-11-30",43.880596,44.916592,43.722565,44.855137,3748500,37.197437
"2011-12-01",44.881474,45.329235,44.73222,45.215099,2393000,37.495953
"2011-12-02",45.645302,45.75066,44.855137,45.039509,2167600,37.35033
"2011-12-05",45.882355,46.084286,45.443371,45.733101,2898700,37.925518
"2011-12-06",45.776997,46.057945,45.724319,45.776997,2313400,37.961918
"2011-12-07",45.425812,46.031605,44.75856,45.803337,3547300,38.27372
"2011-12-08",45.601406,45.917473,45.223881,45.311676,2989300,37.862881
"2011-12-09",45.575066,46.312553,45.557507,46.075504,2094500,38.501144
"2011-12-12",45.776997,45.847233,45.171204,45.452152,2500700,37.980267
"2011-12-13",45.662861,46.066727,44.916592,45.162422,2687900,37.738167
"2011-12-14",45.048286,45.469711,44.75856,44.872696,2884700,37.496063
"2011-12-15",45.153645,45.346794,44.776119,44.925373,2084200,37.540085
"2011-12-16",45.188763,45.715542,44.951714,45.417034,5249100,37.950916
"2011-12-19",45.443371,45.978928,45.030727,45.171204,2001700,37.745506
"2011-12-20",45.908691,47.208076,45.891132,47.085163,3346600,39.344818
"2011-12-21",47.199299,47.304653,46.365234,47.102722,3042300,39.359497
"2011-12-22",47.129059,47.383671,46.953468,47.260754,1791400,39.491547
"2011-12-23",47.410007,47.717297,47.243195,47.699738,1249100,39.85836
"2011-12-27",47.603161,47.884109,47.418789,47.796314,1380000,39.939068
"2011-12-28",47.831432,47.848991,47.050045,47.234417,1430400,39.469543
"2011-12-29",47.471466,47.848991,47.348553,47.717297,1539100,39.873043
"2011-12-30",47.673397,47.954346,47.392448,47.418789,1908900,39.6236
"2012-01-03",48.191395,48.279194,47.761192,47.813873,2898700,39.953739
"2012-01-04",47.831432,47.928005,47.524143,47.761192,2141400,39.909721
"2012-01-05",47.796314,48.252853,47.638279,48.112381,2999100,40.203182
"2012-01-06",48.121159,48.287971,47.708515,48.182617,2486500,40.261875
"2012-01-09",48.077259,48.191395,47.726074,47.998245,2132800,40.107803
"2012-01-10",48.1036,48.244072,47.769974,47.989464,3083800,40.100468
"2012-01-11",47.936787,48.08604,47.761192,47.945568,2243400,40.063782
"2012-01-12",48.007023,48.287971,47.831432,48.252853,2344600,40.32056
"2012-01-13",47.919228,48.261635,47.726074,48.244072,2039000,40.313225
"2012-01-17",48.287971,49.034241,48.200176,48.867428,2683500,40.834099
"2012-01-18",48.972782,49.622475,48.858646,49.604916,3069600,41.450352
"2012-01-19",49.745392,50.017559,49.473221,49.9561,2149600,41.743809
"2012-01-20",49.964882,50.131695,49.508339,49.859528,2924700,41.663105
"2012-01-23",49.97366,50.105354,49.402985,49.762951,2606000,41.582409
"2012-01-24",49.350307,49.947323,49.218613,49.806847,2738300,41.619087
"2012-01-25",49.402985,50.035118,49.227394,49.97366,3510500,41.75848
"2012-01-26",49.218613,49.464443,48.849869,49.0079,4397900,40.951485
"2012-01-27",48.990341,49.227394,48.551361,48.586479,3338500,40.599342
"2012-01-30",48.279194,48.358208,47.892887,48.200176,4139400,40.276543
"2012-01-31",48.34943,48.525021,47.822651,48.094818,3566000,40.188503
"2012-02-01",48.516243,48.709393,48.244072,48.244072,3673200,40.313225
"2012-02-02",48.366989,48.516243,48.12994,48.12994,3284100,40.217857
"2012-02-03",48.639156,48.884987,48.498684,48.735733,3307700,40.724052
"2012-02-06",48.419666,48.577702,48.208954,48.402107,2564200,40.445286
"2012-02-07",48.244072,48.287971,47.971905,48.173836,3391900,40.254532
"2012-02-08",48.1036,48.226513,47.848991,47.928005,2478900,40.049103
"2012-02-09",48.182617,48.200176,47.778755,47.910446,3005200,40.034435
"2012-02-10",47.717297,47.813873,47.339771,47.418789,3571200,39.6236
"2012-02-13",47.690956,47.980686,47.392448,47.611938,2339100,39.785004
"2012-02-14",47.611938,47.805092,47.313435,47.629501,2378100,39.799667
"2012-02-15",47.497807,47.708515,47.129059,47.225636,2680000,39.462204
"2012-02-16",47.374889,47.568043,47.269535,47.269535,2881500,39.498886
"2012-02-17",47.40123,47.822651,47.339771,47.629501,3323100,39.799667
"2012-02-21",47.699738,47.752415,47.1115,47.287094,2704800,39.513557
"2012-02-22",47.199299,47.629501,47.199299,47.243195,2501500,39.476875
"2012-02-23",47.18174,47.489025,47.18174,47.234417,2112900,39.469543
"2012-02-24",47.374889,47.374889,47.076382,47.251976,2002800,39.484207
"2012-02-27",47.146622,47.734856,46.804214,47.506584,2343600,39.696964
"2012-02-28",47.717297,47.919228,47.410007,47.884109,2263600,40.012428
"2012-02-29",47.857769,48.08604,47.62072,47.690956,2581200,39.851025
