"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume","BAX.Adjusted"
"2002-02-05",29.440521,30.461706,29.402498,30.239,5113700,17.185854
"2002-02-06",30.14666,30.309614,29.875069,30.108637,4694700,17.111761
"2002-02-07",30.054317,30.103205,29.46768,29.679522,3965500,16.867886
"2002-02-08",29.674089,29.929386,29.359043,29.717545,3788200,16.88949
"2002-02-11",29.989136,30.14666,29.799023,30.14666,2410000,17.133373
"2002-02-12",30.211842,30.499729,30.157522,30.309614,4892000,17.225983
"2002-02-13",30.44541,30.803911,30.010864,30.418251,4082000,17.287731
"2002-02-14",30.418251,30.651819,30.255297,30.516024,3558600,17.34329
"2002-02-15",30.380228,30.972298,30.244432,30.733297,3767400,17.46678
"2002-02-19",30.554047,30.662683,30.038023,30.065182,3404700,17.087067
"2002-02-20",30.173819,30.478001,30.065182,30.358501,2667600,17.253773
"2002-02-21",30.249865,30.412819,29.712112,29.847908,4819000,16.963587
"2002-02-22",29.766432,30.222706,29.576317,30.135796,2504600,17.127201
"2002-02-25",29.875069,30.086908,29.70668,29.799023,4822100,16.935799
"2002-02-26",29.603476,29.657795,29.201521,29.603476,6285100,16.824665
"2002-02-27",29.739273,30.336773,29.549158,30.255297,5299100,17.195122
"2002-02-28",30.255297,30.581205,29.961977,30.135796,4610000,17.127201
"2002-03-01",30.228136,30.282455,29.864204,30.076046,4208500,17.093243
"2002-03-04",30.010864,30.418251,30.010864,30.418251,2814100,17.287731
"2002-03-05",30.363934,30.363934,29.782726,29.967409,4435300,17.031498
"2002-03-06",29.777294,30.309614,29.712112,30.179251,3269000,17.151892
"2002-03-07",30.09234,30.472569,29.885931,30.260727,4626000,17.1982
"2002-03-08",30.418251,30.472569,29.793591,29.875069,5675800,16.979019
"2002-03-11",29.820749,29.858772,29.380772,29.739273,4126400,16.901842
"2002-03-12",29.359043,29.94025,29.337317,29.94025,2917600,17.016066
"2002-03-13",29.956545,30.152092,29.875069,30.124931,4464600,17.121025
