"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2009-05-05",10.9025,11.25,10.78,11.225,11621600,11.225
"2009-05-06",11.2775,11.3725,10.8825,10.9675,8181600,10.9675
"2009-05-07",11.0825,11.0825,10.2425,10.295,10184400,10.295
"2009-05-08",10.4375,10.5675,10.1625,10.26,6892400,10.26
"2009-05-11",10.0575,10.48,10.0475,10.3175,6630800,10.3175
"2009-05-12",10.4325,10.4475,10.0925,10.2175,5507200,10.2175
"2009-05-13",10.0775,10.11,9.6675,9.7525,6796800,9.7525
"2009-05-14",9.79,10.0375,9.6825,9.9425,6876800,9.9425
"2009-05-15",10,10.245,9.925,10.05,5811200,10.05
"2009-05-18",10.1325,10.365,9.9425,10.1,7121200,10.1
"2009-05-19",10.0825,10.3725,9.9725,10.255,9710800,10.255
"2009-05-20",10.3275,10.5125,10.0075,10.0675,7206000,10.0675
"2009-05-21",10.0425,10.1025,9.805,9.9125,14368400,9.9125
"2009-05-22",9.07,9.3225,8.775,9.0375,36521200,9.0375
"2009-05-26",9.115,9.495,8.7825,9.375,11081200,9.375
"2009-05-27",9.34,9.43,9.0775,9.125,9228000,9.125
"2009-05-28",9.145,9.54,9.075,9.4425,11794400,9.4425
"2009-05-29",9.385,9.5,9.23,9.4875,8586400,9.4875
"2009-06-01",9.59,9.98,9.59,9.945,8040800,9.945
"2009-06-02",9.92,9.99,9.76,9.815,6464000,9.815
"2009-06-03",9.76,9.83,9.5825,9.82,9511200,9.82
"2009-06-04",9.855,10.03,9.7025,9.8175,12475600,9.8175
"2009-06-05",9.9225,10,9.7675,9.7825,11769200,9.7825
"2009-06-08",9.7425,9.8375,9.6025,9.6775,9966400,9.6775
"2009-06-09",9.7525,9.99,9.68,9.895,8357600,9.895
"2009-06-10",9.9975,10.05,9.845,9.9925,15254000,9.9925
"2009-06-11",10,10.4375,10,10.4,10732000,10.4
"2009-06-12",10.39,10.4,10.1025,10.4,4568800,10.4
"2009-06-15",10.25,10.3,10.035,10.1575,5311600,10.1575
"2009-06-16",10.285,10.295,9.9675,9.99,7053600,9.99
"2009-06-17",10.0375,10.285,9.9525,10.125,5196400,10.125
"2009-06-18",10.2175,10.2175,9.8775,10.04,4914000,10.04
"2009-06-19",10.06,10.1825,9.925,9.9775,6207200,9.9775
"2009-06-22",9.8025,9.8025,9.325,9.325,8435600,9.325
"2009-06-23",9.37,9.485,9.095,9.4525,9307600,9.4525
"2009-06-24",9.56,9.875,9.5,9.81,8736800,9.81
"2009-06-25",9.75,9.9525,9.57,9.945,5727600,9.945
"2009-06-26",9.8975,9.935,9.6275,9.7275,5053600,9.7275
"2009-06-29",9.75,9.7625,9.5925,9.7275,4187200,9.7275
"2009-06-30",9.7375,9.7875,9.4875,9.5425,7286000,9.5425
"2009-07-01",9.6275,9.8275,9.5,9.7275,4898400,9.7275
"2009-07-02",9.59,9.69,9.445,9.54,5680400,9.54
"2009-07-06",9.4075,9.49,9.2,9.27,9790800,9.27
"2009-07-07",9.2225,9.36,8.8725,8.8925,10483200,8.8925
"2009-07-08",8.8825,9.1575,8.8175,9.125,10574800,9.125
"2009-07-09",9.21,9.325,9.1125,9.205,5000800,9.205
"2009-07-10",9.1,9.3625,9.1,9.315,3561200,9.315
"2009-07-13",9.3775,9.5575,9.32,9.555,6672400,9.555
"2009-07-14",9.54,9.565,9.4325,9.535,4404800,9.535
"2009-07-15",9.7325,9.97,9.6075,9.925,5564400,9.925
"2009-07-16",9.825,10.07,9.7875,10.02,5177600,10.02
"2009-07-17",10.0175,10.255,9.985,10.21,4442800,10.21
"2009-07-20",10.3125,10.455,10.23,10.4325,4948800,10.4325
"2009-07-21",10.4325,10.5,10.325,10.4525,3793200,10.4525
"2009-07-22",10.44,10.6425,10.295,10.6175,5087200,10.6175
"2009-07-23",10.6375,11.0775,10.5675,11.0425,6143200,11.0425
