"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2012-08-15",52.450001,53.360001,51.970001,52.91,2329900,49.084713
"2012-08-16",52.669998,52.830002,51.84,52.220001,3297800,48.444584
"2012-08-17",52.360001,53.549999,51.529999,51.619999,3233000,47.887974
"2012-08-20",51.5,52.68,50.990002,52.439999,3610400,48.648685
"2012-08-21",52.349998,52.810001,51.330002,51.610001,2568100,47.878685
"2012-08-22",51.360001,51.869999,50.66,51.720001,2110100,47.980747
"2012-08-23",51.5,52.490002,51,52.419998,3071200,48.630123
"2012-08-24",52.02,53.68,51.639999,53.060001,2978400,49.346233
"2012-08-27",53.07,53.360001,51.84,52.18,2056300,48.527828
"2012-08-28",52.259998,53.150002,52.080002,52.880001,1987000,49.178837
"2012-08-29",52.860001,53.279999,52.209999,52.860001,1357800,49.160233
"2012-08-30",52.57,52.860001,51.439999,51.48,1592600,47.876827
"2012-08-31",51.970001,52.110001,50.470001,51.360001,2960800,47.765224
"2012-09-04",51.360001,52.389999,51.049999,51.990002,1840500,48.351131
"2012-09-05",51.66,52.389999,51.07,52.099998,1816000,48.45343
"2012-09-06",52.549999,54.09,52.330002,53.380001,2631200,49.643837
"2012-09-07",53.630001,54.349998,53.400002,54.110001,2445500,50.32275
"2012-09-10",53.889999,54.240002,52.700001,52.75,2576100,49.05793
"2012-09-11",52.59,54,52.029999,53.790001,3875500,50.025143
"2012-09-12",54,55.060001,53.740002,54.220001,2732000,50.425045
"2012-09-13",54.02,55.82,53.549999,55.57,2754400,51.68055
"2012-09-14",55.59,57,55.57,55.880001,2431500,51.968853
"2012-09-17",55.630001,55.790001,54.41,54.990002,2112600,51.141151
"2012-09-18",55.09,55.5,54.450001,54.810001,1408500,50.973743
"2012-09-19",54.810001,56.369999,54.709999,56.16,2779800,52.229256
"2012-09-20",55.889999,57.18,55.700001,57.09,2290200,53.09417
"2012-09-21",58.98,60.290001,58.93,59.369999,5994300,55.214584
"2012-09-24",58.759998,59,57.57,58.560001,3197000,54.461285
"2012-09-25",58,59,57.950001,58.139999,2406400,54.070671
"2012-09-26",58.200001,58.48,57.029999,57.650002,1992500,53.614967
"2012-09-27",57.82,58.619999,57.509998,58.220001,1149200,54.145073
"2012-09-28",58.099998,58.59,57.48,57.84,2332700,53.791672
"2012-10-01",57.869999,58.299999,56.759998,56.939999,1788100,52.954662
"2012-10-02",57.349998,57.77,56.169998,56.669998,2357600,52.70356
"2012-10-03",56.990002,58.490002,56.990002,58.349998,2506400,54.265984
"2012-10-04",58.619999,59.419998,58.09,58.52,2108600,54.424072
"2012-10-05",59.470001,59.900002,57.450001,57.599998,1731100,53.56847
"2012-10-08",57.799999,58.060001,56.349998,56.799999,1880600,52.824463
"2012-10-09",56.630001,56.77,55.02,55.48,2825600,51.596848
"2012-10-10",55.470001,56.139999,55.119999,55.279999,3508700,51.410851
"2012-10-11",55.75,55.75,53.330002,54.25,4186500,50.45295
"2012-10-12",53.580002,54.540001,53.310001,54.25,1801100,50.45295
"2012-10-15",54.490002,54.57,53.669998,54.490002,1518700,50.676147
"2012-10-16",54.610001,55.02,54.099998,54.66,1655800,50.834244
"2012-10-17",54.540001,55.23,54.09,54.330002,1747300,50.527344
"2012-10-18",54.200001,55.720001,53.610001,54.279999,3845100,50.48085
"2012-10-19",54.150002,54.150002,51.41,52.099998,4278300,48.45343
"2012-10-22",52.23,53.41,51.880001,52.360001,2440100,48.695236
"2012-10-23",52.049999,54.220001,51.619999,53.689999,2945800,49.93214
"2012-10-24",54.43,54.43,52.25,52.27,2764200,48.611523
"2012-10-25",52.799999,53.009998,50.709999,51.25,6638000,47.66293
"2012-10-26",58.950001,60,56.02,59.060001,13240700,54.926285
"2012-10-31",58.310001,60.040001,57.880001,59.150002,3290600,55.009983
"2012-11-01",59.110001,59.889999,58.959999,59.68,2002700,55.502903
"2012-11-02",60.759998,61.380001,59.060001,59.07,2890700,54.935585
"2012-11-05",58.82,59.91,58.299999,59.869999,1688000,55.679581
"2012-11-06",59.799999,60.990002,59.799999,60.560001,1994900,56.321297
"2012-11-07",59.84,60,58.139999,58.900002,2641100,54.777493
"2012-11-08",59.150002,59.41,57.75,58.189999,2003300,54.117172
"2012-11-09",56.16,58.610001,56,57.740002,2760900,53.698673
"2012-11-12",57.91,58.580002,57.220001,57.59,1431400,53.559177
"2012-11-13",57.389999,57.939999,57.049999,57.189999,1594400,53.187168
"2012-11-14",57.490002,57.75,55.290001,55.470001,1886100,51.70509
"2012-11-15",55.630001,55.950001,54.959999,55.880001,1724000,52.087261
"2012-11-16",55.779999,58.32,55.619999,58.23,2480000,54.277763
"2012-11-19",59.040001,59.290001,58.029999,58.299999,1525400,54.343006
"2012-11-20",59.07,60.16,58.349998,59.290001,1843100,55.265808
"2012-11-21",59.27,60.450001,58.689999,60.02,1870600,55.946266
"2012-11-23",60.16,60.650002,59.509998,60.59,840800,56.477577
"2012-11-26",60.34,61.48,60.110001,60.939999,2227700,56.803822
"2012-11-27",60.98,61.580002,60.099998,60.830002,1760200,56.701286
"2012-11-28",60.860001,61.77,60,61.73,1421100,57.540207
"2012-11-29",61.84,62.799999,61.029999,61.59,1335600,57.409702
"2012-11-30",61.509998,62.209999,61,61.860001,2455600,57.661381
"2012-12-03",61.93,61.950001,60.650002,60.779999,1799600,56.654675
"2012-12-04",60.509998,60.599998,59.52,59.919998,2096500,55.853058
"2012-12-05",60.119999,60.619999,59.349998,60.09,1776900,56.011509
"2012-12-06",59.939999,60.259998,59.32,59.68,1618400,55.629349
"2012-12-07",59.889999,60.82,59.75,59.880001,2640200,55.815773
"2012-12-10",59.810001,60.110001,57.34,57.709999,2827200,53.793041
"2012-12-11",59.389999,60.349998,58.830002,60,4475700,55.92762
"2012-12-12",59.650002,60.709999,58.990002,60.57,3399600,56.458931
"2012-12-13",60.110001,60.470001,58.400002,59.34,2801100,55.791393
"2012-12-14",59.23,59.380001,58.549999,58.990002,1749900,55.462334
"2012-12-17",59.290001,60.720001,59,60.66,2508100,57.032452
"2012-12-18",60.540001,61.970001,60,61.439999,2668400,57.76582
"2012-12-19",61.700001,61.91,60.73,60.779999,1645000,57.145279
"2012-12-20",60.889999,61.200001,59.959999,60.91,1359700,57.267506
"2012-12-21",60.049999,60.599998,59.209999,59.59,2467000,56.026443
"2012-12-24",59.16,59.900002,59.130001,59.59,458300,56.026443
"2012-12-26",59.75,59.799999,57.84,57.93,887500,54.465717
"2012-12-27",57.98,60.73,57.98,60.299999,2772400,56.693985
"2012-12-28",59.709999,60.299999,59.330002,59.360001,1181300,55.810196
"2012-12-31",59.27,61.709999,58.900002,61.439999,2041200,57.76582
"2013-01-02",62.610001,63.25,62.150002,63.25,2146100,59.467571
"2013-01-03",63.110001,64.510002,62.689999,62.830002,2427700,59.072689
"2013-01-04",62.830002,64.690002,62.610001,64.459999,1896400,60.605217
"2013-01-07",63.900002,64.660004,63.549999,64.410004,1898700,60.558205
"2013-01-08",64.43,64.769997,63.900002,64.75,1882500,60.877861
"2013-01-09",64.790001,64.809998,63.540001,63.689999,2060000,59.88126
"2013-01-10",64.370003,64.489998,62.25,62.77,1723400,59.016281
"2013-01-11",62.709999,62.98,62.25,62.610001,1800700,58.865849
"2013-01-14",62.610001,63.349998,62,62.880001,1227700,59.119701
"2013-01-15",62.580002,64.080002,62.150002,63.52,1381200,59.721424
"2013-01-16",64.199997,64.199997,62.580002,62.689999,1148300,58.941067
"2013-01-17",62.84,63.330002,62.18,62.860001,1054700,59.100895
"2013-01-18",63.119999,63.119999,61.990002,62.240002,2375400,58.517963
"2013-01-22",62.5,62.810001,61.220001,61.990002,1198000,58.282917
"2013-01-23",62.16,62.740002,61.73,62.610001,960700,58.865849
"2013-01-24",63.389999,64.25,62.900002,63.380001,1346100,59.589802
"2013-01-25",63.41,66.860001,63.41,66.489998,2728000,62.513821
"2013-01-28",66.589996,66.839996,65.910004,66.660004,1688600,62.67366
"2013-01-29",66.68,66.769997,65.339996,66.57,1595300,62.589024
"2013-01-30",66.699997,66.839996,65.440002,65.660004,1385600,61.733448
"2013-01-31",65.32,65.5,64.400002,65.25,2170000,61.347965
"2013-02-01",65.949997,68.089996,65.440002,67.269997,3878700,63.247173
"2013-02-04",66.489998,66.489998,64.82,65.160004,4664200,61.263351
