"","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2004-05-27",36.07378,36.231884,35.573124,36.152832,1381800,31.040627
"2004-05-28",35.836628,35.96838,35.441372,35.678524,799600,30.633392
"2004-06-01",35.388668,35.783928,35.046112,35.309616,1171800,30.316648
"2004-06-02",35.52042,35.546772,34.96706,35.256916,969400,30.271391
"2004-06-03",34.993412,35.125164,34.677208,34.782608,689300,29.864153
"2004-06-04",34.80896,35.573124,34.782608,35.309616,795500,30.316648
"2004-06-07",35.704876,36.389988,35.441372,36.284584,1148700,31.153753
"2004-06-08",36.363636,36.416336,36.02108,36.205532,1308900,31.085865
"2004-06-09",36.179184,36.864296,36.047432,36.62714,922800,31.447859
"2004-06-10",36.890644,37.549408,36.758892,37.206852,1806900,31.945604
"2004-06-14",37.206852,37.523056,36.943348,37.417656,1570200,32.126602
"2004-06-15",37.523056,38.260868,37.417656,38.023716,2113600,32.646935
"2004-06-16",37.918312,37.997364,37.312252,37.312252,896200,32.036102
"2004-06-17",37.048748,37.523056,37.022396,37.2332,964200,31.96822
"2004-06-18",37.154152,37.496708,36.943348,37.470356,870400,32.171856
"2004-06-21",37.206852,38.102768,37.206852,37.68116,1148500,32.352829
"2004-06-22",37.549408,39.077732,37.549408,38.682476,3135600,33.212566
"2004-06-23",38.39262,39.262188,38.39262,39.130436,1545700,33.597191
"2004-06-24",39.130436,39.262188,38.313572,38.313572,1280200,32.895824
"2004-06-25",38.313572,38.866932,37.918312,38.129116,1877200,32.737465
"2004-06-28",38.735176,38.735176,37.575756,37.68116,1914600,32.352829
"2004-06-29",37.68116,38.076416,37.417656,37.918312,955300,32.55645
"2004-06-30",37.971016,38.39262,37.812912,38.208168,935900,32.805328
"2004-07-01",37.68116,37.997364,37.1805,37.444004,902200,32.14922
"2004-07-02",37.444004,37.444004,36.890644,37.285904,636700,32.013466
"2004-07-06",37.259552,37.259552,35.678524,36.258236,1783400,31.131123
"2004-07-07",36.02108,36.837944,36.02108,36.46904,900800,31.312109
"2004-07-08",36.126484,36.231884,35.757576,35.836628,1317000,30.769129
"2004-07-09",35.994728,36.047432,35.783928,35.96838,478500,30.882257
"2004-07-12",35.757576,36.205532,35.494072,35.889328,618600,30.814386
"2004-07-13",35.757576,36.758892,35.757576,36.389988,683900,31.244246
"2004-07-14",36.389988,36.389988,35.704876,36.07378,713000,30.972754
"2004-07-15",36.07378,36.548088,35.652172,35.810276,464100,30.746504
"2004-07-16",36.363636,36.442688,34.91436,35.019764,908500,30.067781
"2004-07-19",35.283268,35.283268,34.677208,34.940712,1283600,29.99991
"2004-07-20",34.729908,35.177864,34.598156,35.019764,1126000,30.067781
"2004-07-21",35.309616,35.836628,34.492752,34.519104,873100,29.637917
"2004-07-22",34.440052,35.072464,33.781292,35.072464,1292300,30.113031
"2004-07-23",35.96838,37.154152,35.309616,36.363636,2955400,31.221626
"2004-07-26",36.416336,36.837944,35.573124,36.047432,1547200,30.950127
"2004-07-27",36.047432,36.231884,35.283268,35.862976,1187500,30.791752
"2004-07-28",35.177864,35.573124,34.650856,35.546772,1406300,30.520279
"2004-07-29",35.546772,36.337284,35.546772,36.152832,695700,31.040627
"2004-07-30",35.783928,36.600792,35.783928,36.52174,1385000,31.357351
"2004-08-02",36.100132,36.785244,35.91568,36.52174,944300,31.357351
"2004-08-03",36.653492,37.1278,36.62714,36.890644,1306100,31.674103
"2004-08-04",36.890644,37.338604,36.52174,37.338604,1350200,32.058716
"2004-08-05",37.312252,37.549408,36.363636,36.416336,1001700,31.266867
"2004-08-06",36.231884,36.363636,35.573124,35.810276,1128600,30.746504
"2004-08-09",35.625824,35.731224,34.91436,34.940712,857500,29.99991
"2004-08-10",34.993412,36.02108,34.993412,36.02108,916400,30.927515
"2004-08-11",35.335968,35.46772,34.650856,35.177864,995000,30.203526
"2004-08-12",34.413704,34.571804,33.913044,34.229248,1478400,29.389042
"2004-08-13",34.176548,34.75626,34.176548,34.440052,1561400,29.570044
"2004-08-16",34.387352,35.098816,34.387352,35.019764,967900,30.067781
"2004-08-17",35.019764,35.52042,34.729908,34.80896,1020400,29.886774
"2004-08-18",34.80896,35.494072,34.361,35.494072,857500,30.475019
"2004-08-19",35.441372,36.07378,35.125164,35.678524,872000,30.633392
"2004-08-20",35.573124,36.416336,35.494072,36.416336,979900,31.266867
"2004-08-23",36.495388,36.653492,36.310936,36.495388,794200,31.334747
"2004-08-24",36.442688,36.46904,35.731224,35.810276,1004100,30.746504
"2004-08-25",35.599472,35.783928,34.96706,35.652172,2012600,30.610756
"2004-08-26",35.335968,35.91568,35.283268,35.731224,582400,30.678627
"2004-08-27",35.625824,35.889328,35.441372,35.704876,578000,30.656021
"2004-08-30",35.309616,35.52042,35.125164,35.309616,661000,30.316648
"2004-08-31",35.098816,35.546772,34.729908,35.388668,1118500,30.38452
"2004-09-01",35.256916,35.573124,34.80896,34.888012,941900,29.954647
"2004-09-02",34.91436,35.573124,34.650856,35.41502,829000,30.407141
"2004-09-03",35.309616,35.41502,34.413704,34.519104,1427100,29.637917
"2004-09-07",35.098816,35.573124,34.940712,35.46772,1466600,30.452389
"2004-09-08",35.335968,36.179184,35.177864,35.994728,2311400,30.904869
"2004-09-09",36.07378,36.758892,35.862976,36.258236,1505700,31.131123
"2004-09-10",36.310936,37.154152,36.100132,36.996048,997900,31.764608
"2004-09-13",36.837944,37.391304,36.758892,36.890644,1156600,31.674103
"2004-09-14",36.495388,37.259552,36.495388,37.1278,1041500,31.877724
"2004-09-15",36.785244,37.022396,36.179184,36.67984,951200,31.493114
"2004-09-16",36.864296,37.602108,36.67984,37.1805,1202600,31.922981
"2004-09-17",37.62846,37.865612,37.364952,37.470356,2209400,32.171856
"2004-09-20",37.470356,37.73386,37.0751,37.444004,1166200,32.14922
"2004-09-21",37.444004,37.918312,37.259552,37.865612,826600,32.511204
"2004-09-22",37.62846,37.68116,37.048748,37.417656,1046800,32.126602
"2004-09-23",37.68116,37.839264,37.022396,37.1278,1136100,31.877724
"2004-09-24",37.285904,37.285904,35.96838,36.02108,2910800,30.927515
"2004-09-27",36.100132,36.389988,35.46772,35.494072,1203300,30.475019
"2004-09-28",35.757576,36.100132,35.52042,36.02108,1219700,30.927515
"2004-09-29",35.836628,36.758892,35.731224,36.653492,1000500,31.470493
"2004-09-30",36.890644,37.391304,36.62714,37.101448,1544200,31.855118
"2004-10-01",37.0751,37.891964,36.916996,37.760212,1414600,32.420719
"2004-10-04",37.68116,38.208168,37.68116,37.839264,1104200,32.488605
"2004-10-05",37.62846,37.78656,37.285904,37.654808,894400,32.330215
"2004-10-06",37.654808,38.076416,37.470356,37.997364,1253100,32.624317
"2004-10-07",37.839264,38.076416,37.602108,37.654808,816200,32.330215
"2004-10-08",37.154152,37.523056,36.943348,37.259552,747700,31.990839
"2004-10-11",37.154152,37.444004,36.996048,37.391304,452900,32.10397
"2004-10-12",36.943348,37.470356,36.785244,37.470356,932000,32.171856
"2004-10-13",37.470356,38.023716,37.364952,37.707508,1090600,32.375477
"2004-10-14",37.602108,37.812912,37.0751,37.259552,1267400,31.990839
"2004-10-15",37.285904,37.549408,37.048748,37.496708,1270900,32.194462
"2004-10-18",37.417656,38.471672,37.048748,38.313572,992800,32.895824
"2004-10-19",38.603424,38.866932,38.498024,38.524376,1069100,33.076817
"2004-10-20",38.498024,38.498024,37.68116,38.313572,900900,32.895824
"2004-10-21",38.524376,38.735176,37.417656,38.366272,1118500,32.941074
