"","TMK.Open","TMK.High","TMK.Low","TMK.Close","TMK.Volume","TMK.Adjusted"
"2001-06-20",17.466667,17.755556,17.466667,17.56889,1132300,14.712497
"2001-06-21",17.688889,17.764444,17.551111,17.764444,1121500,14.87626
"2001-06-22",17.764444,17.848888,17.377777,17.493334,963600,14.649226
"2001-06-25",17.533333,17.666666,17.373333,17.444445,606600,14.608284
"2001-06-26",17.444445,17.746666,17.444445,17.622223,946300,14.757166
"2001-06-27",17.622223,17.977777,17.573334,17.733334,1024800,14.850217
"2001-06-28",17.733334,17.866667,17.693333,17.791111,734100,14.898598
"2001-06-29",17.911112,17.911112,17.733334,17.871111,908100,14.965586
"2001-07-02",17.955555,18.151112,17.822222,18.08,732100,15.140517
"2001-07-03",18.022223,18.066668,17.955555,18.013334,513100,15.11813
"2001-07-05",18,18.111111,18,18.066668,572800,15.162897
"2001-07-06",18.022223,18.08,17.693333,17.777779,634500,14.92044
"2001-07-09",17.888889,17.977777,17.622223,17.884445,797800,15.009958
"2001-07-10",17.884445,17.897778,17.755556,17.782223,496000,14.924175
"2001-07-11",17.777779,17.884445,17.653334,17.773333,593700,14.916702
"2001-07-12",17.822222,18.053333,17.711111,17.968889,377200,15.08083
"2001-07-13",17.968889,18.217777,17.968889,18.182222,537300,15.259881
"2001-07-16",18.177778,18.32,18.133333,18.244444,544200,15.312101
"2001-07-17",18.222221,18.333334,18.111111,18.182222,568500,15.259881
"2001-07-18",18.182222,18.244444,17.968889,18.213333,720000,15.285988
"2001-07-19",18.155556,18.333334,18,18.173334,1683100,15.252412
"2001-07-20",18.133333,18.200001,17.728889,17.822222,843700,14.957737
"2001-07-23",17.733334,17.777779,17.471111,17.608889,634200,14.778696
"2001-07-24",17.608889,17.888889,17.555555,17.675556,933400,14.834637
"2001-07-25",17.675556,17.906666,17.675556,17.879999,820500,15.006229
"2001-07-26",17.777779,17.942223,17.711111,17.942223,531000,15.058446
"2001-07-27",17.942223,18.088888,17.777779,18.017778,847500,15.121861
"2001-07-30",18.062222,18.177778,17.955555,18.008888,864000,15.114408
"2001-07-31",18.088888,18.582222,18.040001,18.448889,922200,15.483679
"2001-08-01",18.466667,18.622223,18.377777,18.493334,607900,15.520987
"2001-08-02",18.577778,18.6,18.311111,18.413334,498100,15.453842
"2001-08-03",18.524445,18.644444,18.328888,18.346666,821200,15.397885
"2001-08-06",18.391111,18.546667,18.062222,18.128889,563400,15.215114
"2001-08-07",18.333334,18.333334,18.213333,18.262222,564900,15.327019
"2001-08-08",18.208889,18.51111,18.208889,18.426666,703300,15.465037
"2001-08-09",18.48889,18.48889,18.311111,18.337778,668200,15.390432
"2001-08-10",18.355556,18.635555,18.311111,18.542223,8925300,15.562016
"2001-08-13",18.542223,18.866667,18.542223,18.671112,479800,15.670193
"2001-08-14",18.711111,18.791111,18.666666,18.706667,382900,15.700032
"2001-08-15",18.666666,18.946667,18.666666,18.84,458100,15.811936
"2001-08-16",18.773333,18.995556,18.733334,18.946667,328600,15.901454
"2001-08-17",18.853333,18.991112,18.799999,18.888889,369900,15.852959
"2001-08-20",18.888889,19,18.888889,18.946667,287500,15.901454
"2001-08-21",18.977777,19.155556,18.928888,19,525600,15.946214
"2001-08-22",19.044445,19.088888,18.799999,18.844444,476500,15.815659
"2001-08-23",18.911112,19.075556,18.866667,18.951111,573400,15.905189
"2001-08-24",19.111111,19.222221,18.968889,19.133333,666000,16.058126
"2001-08-27",19.137777,19.164444,18.826666,18.84,1143900,15.811936
"2001-08-28",18.84,19.022223,18.644444,18.719999,1055700,15.711216
"2001-08-29",18.688889,18.777779,18.555555,18.622223,798000,15.629161
"2001-08-30",18.622223,19,18.622223,18.831112,643900,15.804469
"2001-08-31",18.831112,18.866667,18.737778,18.773333,1716900,15.755983
"2001-09-04",18.817778,18.853333,18.577778,18.613333,916800,15.621696
"2001-09-05",18.577778,18.577778,18.355556,18.413334,1170000,15.453842
"2001-09-06",18.40889,18.40889,18.075556,18.084444,991300,15.177812
"2001-09-07",18,18,17.315556,17.542223,1747800,14.722741
"2001-09-10",17.333334,17.799999,17.022223,17.746666,980100,14.894325
"2001-09-17",17.066668,17.222221,16.59111,16.977777,1134900,14.249024
"2001-09-18",16.982222,16.982222,16.613333,16.724445,773200,14.036401
"2001-09-19",16.706667,16.826666,16.044445,16.253334,988300,13.64101
"2001-09-20",15.933333,16.066668,15.702222,15.866667,2011500,13.316491
"2001-09-21",15,15.844444,15,15.822222,1422400,13.279192
"2001-09-24",16.044445,16.559999,15.92,16.559999,1485400,13.898386
"2001-09-25",16.106667,16.675556,16.106667,16.608889,1174000,13.939418
"2001-09-26",16.666666,16.84,16.533333,16.617777,723700,13.946873
"2001-09-27",16.617777,17,16.48889,16.942223,891400,14.219178
"2001-09-28",16.844444,17.413334,16.711111,17.333334,1305400,14.547429
"2001-10-01",17.355556,17.377777,16.871111,17.186666,553000,14.424335
"2001-10-02",17.088888,17.51111,17.088888,17.497778,378100,14.685442
"2001-10-03",17.413334,18,17.333334,17.755556,1056700,14.916949
"2001-10-04",17.844444,17.964445,17.604445,17.724445,605400,14.890802
"2001-10-05",17.688889,17.719999,16.982222,17.422222,559000,14.636908
"2001-10-08",17.155556,17.155556,16.746666,16.933332,416700,14.226176
"2001-10-09",16.911112,17.164444,16.711111,17.133333,725400,14.3942
"2001-10-10",17.235556,17.555555,17.088888,17.462223,1027800,14.670504
"2001-10-11",17.355556,17.6,17.244444,17.346666,926500,14.57343
"2001-10-12",17.235556,17.368889,17.071112,17.302221,722800,14.536083
"2001-10-15",17.222221,17.422222,17.222221,17.315556,441400,14.547288
"2001-10-16",17.32,17.555555,17.222221,17.391111,298500,14.610754
"2001-10-17",17.48,17.48,17.111111,17.244444,1108900,14.487541
"2001-10-18",17.266666,17.391111,16.822222,17,761100,14.28218
"2001-10-19",16.888889,17.066668,16.440001,16.951111,688900,14.241107
"2001-10-22",16.888889,17.440001,16.888889,17.382223,460900,14.603291
"2001-10-23",17.200001,17.577778,16.977777,17.111111,1966900,14.375525
"2001-10-24",16.444445,16.773333,16.333334,16.466667,2838700,13.834107
"2001-10-25",16.466667,16.844444,16.377777,16.777779,835300,14.09549
"2001-10-26",16.622223,17.097778,16.6,17.022223,927400,14.300856
"2001-10-29",16.955555,16.955555,16.688889,16.795555,551700,14.110428
"2001-10-30",16.577778,16.822222,16.51111,16.639999,1067800,13.979733
"2001-10-31",16.639999,16.639999,16.333334,16.457777,968500,13.82664
"2001-11-01",16.355556,16.826666,16.222221,16.746666,1536000,14.069345
"2001-11-02",16.644444,17.297777,16.59111,17.142221,717700,14.401666
"2001-11-05",17.142221,17.688889,17.142221,17.537777,621400,14.733976
"2001-11-06",17.542223,17.719999,17.422222,17.604445,866200,14.789994
"2001-11-07",17.715555,17.755556,17.422222,17.48,586900,14.685448
"2001-11-08",17.40889,17.657778,17.377777,17.564444,661500,14.756384
"2001-11-09",17.555555,17.555555,17.208889,17.346666,625900,14.57343
"2001-11-12",17.333334,17.35111,17.115555,17.328888,451900,14.558491
"2001-11-13",17.417778,17.622223,17.311111,17.564444,332100,14.756384
"2001-11-14",17.644444,17.688889,17.4,17.542223,438300,14.737715
"2001-11-15",17.51111,17.866667,17.48,17.537777,537000,14.733976
"2001-11-16",17.533333,17.777779,17.48889,17.515556,387900,14.715321
"2001-11-19",17.577778,17.666666,17.368889,17.577778,358600,14.767583
"2001-11-20",17.559999,17.711111,17.413334,17.6,308200,14.78626
"2001-11-21",17.6,17.6,17.288889,17.466667,372300,14.67424
"2001-11-23",17.4,17.608889,17.391111,17.56889,211200,14.760116
"2001-11-26",17.595556,17.595556,17.337778,17.515556,834400,14.715321
"2001-11-27",17.475555,17.622223,17.40889,17.52,1215000,14.719049
"2001-11-28",17.51111,17.666666,17.453333,17.493334,619600,14.696644
"2001-11-29",17.466667,17.657778,17.43111,17.653334,1845900,14.831059
"2001-11-30",17.733334,17.768888,17.51111,17.533333,755700,14.730249
"2001-12-03",17.533333,17.537777,17.346666,17.422222,820800,14.636908
"2001-12-04",17.444445,17.555555,17.128889,17.515556,1278900,14.715321
"2001-12-05",17.564444,17.608889,17.244444,17.40889,2084800,14.625703
"2001-12-06",17.475555,17.555555,17.200001,17.244444,1774800,14.487541
"2001-12-07",17.244444,17.444445,17.182222,17.377777,1617400,14.599559
"2001-12-10",17.355556,17.395555,17,17.031111,1202100,14.308322
"2001-12-11",16.92,17.084444,16.422222,17.008888,1726800,14.289649
"2001-12-12",16.897778,17.097778,16.879999,17.057777,706600,14.330716
"2001-12-13",17.088888,17.106667,16.808889,16.977777,1173700,14.263515
"2001-12-14",16.866667,17.102222,16.808889,17.040001,630000,14.315786
"2001-12-17",16.928888,17.213333,16.844444,17.102222,605200,14.368065
"2001-12-18",17.066668,17.288889,17.026667,17.235556,620100,14.480078
"2001-12-19",17.266666,17.4,17.111111,17.266666,474000,14.506214
"2001-12-20",17.266666,17.497778,17.266666,17.386667,578700,14.607034
"2001-12-21",17.555555,17.555555,17.284445,17.284445,1147900,14.521149
"2001-12-24",17.395555,17.435556,17.213333,17.257778,196800,14.498743
"2001-12-26",17.244444,17.373333,17.164444,17.226667,344800,14.472605
"2001-12-27",17.200001,17.333334,17.022223,17.191111,510700,14.442738
"2001-12-28",17.235556,17.391111,17.053333,17.293333,406900,14.528627
"2001-12-31",17.288889,17.577778,17.200001,17.48,880600,14.685448
"2002-01-02",17.484444,17.484444,16.928888,17.24,436900,14.483811
"2002-01-03",17.048889,17.195555,16.995556,17.155556,983700,14.412865
"2002-01-04",17.133333,17.297777,17.093334,17.297777,442800,14.532345
"2002-01-07",17.288889,17.288889,17.040001,17.075556,453600,14.345654
"2002-01-08",17.066668,17.133333,16.853333,17.008888,589000,14.3232
"2002-01-09",16.955555,17.217777,16.786667,17.048889,691200,14.35689
"2002-01-10",16.955555,17.177778,16.844444,17.151112,547200,14.442973
"2002-01-11",17.142221,17.16,16.853333,16.959999,518100,14.28203
