"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2015-09-28",108.970001,109.360001,106.709999,106.839996,2338000,94.415184
"2015-09-29",106.949997,109.839996,106.839996,108.099998,2254000,95.528664
"2015-09-30",109.019997,109.379997,106.699997,108.580002,2377800,95.95285
"2015-10-01",108.5,109.139999,104.760002,105.400002,2456800,93.142662
"2015-10-02",104.220001,108.540001,103.029999,107.959999,3303000,95.404961
"2015-10-05",108.760002,111.989998,108.160004,111.760002,2199200,98.763039
"2015-10-06",110.940002,113.230003,110.529999,112.169998,1600300,99.125343
"2015-10-07",112.730003,114.599998,111.07,112.529999,1753400,99.443474
"2015-10-08",112.589996,114.860001,112.040001,114.269997,1439200,100.98114
"2015-10-09",114.489998,115.370003,112.879997,113.089996,1784200,99.938362
"2015-10-12",113.32,113.709999,111.790001,111.980003,1541200,98.957451
"2015-10-13",111.099998,112.07,109.949997,109.980003,1796200,97.190041
"2015-10-14",110.080002,110.290001,108.620003,109.370003,1733700,96.65097
"2015-10-15",109.769997,109.970001,107.510002,109.160004,2621100,96.465401
"2015-10-16",109.260002,109.519997,107.410004,108.709999,2798600,96.067741
"2015-10-19",108.220001,109,107.839996,108.57,2267900,95.944008
"2015-10-20",107.230003,110.459999,107.150002,109.489998,2205500,96.757019
"2015-10-21",110.059998,110.440002,107.860001,108.589996,1653900,95.961662
"2015-10-22",108.860001,112.730003,108.599998,111.82,2559000,98.816048
"2015-10-23",113.389999,114.519997,112.110001,112.839996,2090600,99.71743
"2015-10-26",112.839996,113.489998,111.879997,112.099998,1537400,99.063484
"2015-10-27",100.75,104.440002,100.610001,102.349998,8068400,90.447357
"2015-10-28",101.099998,103.769997,99.760002,103.230003,4999900,91.225021
"2015-10-29",102.510002,104.360001,102.459999,103.400002,3038100,91.375252
"2015-10-30",103.550003,104.18,102.5,103.510002,3148600,91.472458
"2015-11-02",103.489998,107.580002,103.209999,106.860001,2672500,94.432869
"2015-11-03",106.860001,108.400002,106.040001,107.400002,2527000,94.910072
"2015-11-04",107.050003,108.519997,105.019997,106.760002,2504600,94.34449
"2015-11-05",106.489998,107.25,105.269997,106.5,2480600,94.114731
"2015-11-06",105.860001,106.68,105.050003,106.480003,1504000,94.097069
"2015-11-09",106.260002,106.489998,103.779999,105.199997,2514900,92.965919
"2015-11-10",104.889999,105.889999,102.25,103.730003,3966700,91.666885
"2015-11-11",103.519997,103.910004,99.870003,100.080002,3850100,88.441338
"2015-11-12",99.660004,100.199997,97.769997,97.830002,2681600,86.453011
"2015-11-13",97.68,99.529999,97.410004,98.669998,1910700,87.19532
"2015-11-16",98.620003,100.279999,98.169998,99.129997,2297400,87.601814
"2015-11-17",99.480003,99.82,97.699997,97.900002,2686600,86.514862
"2015-11-18",97.860001,98.599998,97.68,98.349998,1816800,87.786804
"2015-11-19",98.150002,98.860001,97.739998,98.57,1485300,87.983177
"2015-11-20",98.709999,100.199997,98.459999,98.699997,1936100,88.09922
"2015-11-23",98.800003,99.75,97.809998,98.139999,1419000,87.599365
"2015-11-24",97.860001,99.150002,97.410004,98.68,2055800,88.081375
"2015-11-25",99.559998,100.300003,98.980003,99.57,1479300,88.875778
"2015-11-27",99.82,100.139999,99.129997,99.739998,536400,89.027519
"2015-11-30",99.919998,101.209999,99.610001,100.370003,2341100,89.589851
"2015-12-01",96.580002,96.870003,91.919998,92.410004,13064100,82.484795
"2015-12-02",92.209999,95.349998,92.169998,94.849998,9087400,84.66272
"2015-12-03",93.959999,93.980003,91.800003,92.480003,5274800,82.547272
