"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"2015-02-05",228.619995,230.759995,224.490005,230.479996,434300,202.927887
"2015-02-06",230.479996,230.479996,222.080002,223.699997,358100,196.958389
"2015-02-09",223.740005,224.229996,221.559998,222.130005,379600,195.57608
"2015-02-10",222.5,224.410004,220.970001,224.300003,360300,197.486694
"2015-02-11",223.369995,225.919998,222.130005,223.800003,257500,197.046463
"2015-02-12",224.199997,228.020004,223.380005,227.990005,295800,200.735565
"2015-02-13",227.669998,227.949997,224.669998,226.690002,276900,199.590973
"2015-02-17",226.240005,228.470001,225.270004,226.210007,233400,199.16835
"2015-02-18",225.160004,228.190002,224.160004,227.960007,303400,200.709152
"2015-02-19",227.960007,227.960007,223,223.550003,235600,196.82634
"2015-02-20",223.240005,226.770004,222,226.559998,268000,199.476517
"2015-02-23",227.029999,228.899994,225.869995,228.479996,276000,201.166977
"2015-02-24",227.039993,227.419998,222.070007,223.169998,224800,196.49173
"2015-02-25",223.169998,225.550003,222.220001,222.380005,258800,195.796204
"2015-02-26",221.949997,223.139999,220.029999,220.339996,257800,194.000061
"2015-02-27",220.720001,222.660004,218.350006,222.429993,295500,195.840179
"2015-03-02",223.25,227.419998,223.25,225.160004,344500,198.243881
"2015-03-03",224.100006,224.649994,221.720001,223.5,232800,196.782349
"2015-03-04",223.080002,224.440002,221.009995,221.240005,397000,194.792496
"2015-03-05",223.160004,227.770004,223.070007,226.190002,463800,199.150711
"2015-03-06",223.809998,223.809998,218.800003,219.360001,407300,193.137222
"2015-03-09",220.339996,222.449997,220.080002,222.169998,285500,195.611298
"2015-03-10",221.929993,224.740005,220.160004,223.5,371700,196.782349
"2015-03-11",223.399994,224.990005,223.009995,223.580002,291700,196.852737
"2015-03-12",225.479996,229.399994,225.399994,228.770004,361700,201.422348
"2015-03-13",228.979996,229.789993,226.979996,228.509995,299000,201.19339
"2015-03-16",230.179993,234.610001,229.580002,234.610001,335000,206.564209
"2015-03-17",234.539993,234.539993,232.029999,232.649994,355800,204.838501
"2015-03-18",233.009995,237.399994,230.190002,236.720001,458000,208.421951
"2015-03-19",236.229996,238.850006,234.770004,234.839996,548100,206.766724
"2015-03-20",234.899994,241.479996,234.899994,240.550003,818700,211.794128
"2015-03-23",240.880005,243.169998,239.809998,239.850006,355300,211.177811
"2015-03-24",239.089996,240.869995,237.679993,237.759995,273200,209.337601
"2015-03-25",237.860001,239.029999,232.809998,233.130005,284300,205.261154
"2015-03-26",232.199997,234.179993,228.289993,233.330002,388900,205.43721
"2015-03-27",232.800003,236.279999,231.809998,232.369995,377900,205.862457
"2015-03-30",233.539993,234.429993,231.759995,234.089996,336900,207.386246
"2015-03-31",233.25,235.029999,229.75,229.899994,412000,203.674225
"2015-04-01",230.179993,231.25,226.419998,227.119995,434700,201.211319
"2015-04-02",226.639999,230.550003,226.610001,229.149994,271500,203.009796
"2015-04-06",230.509995,231.899994,229.850006,230.929993,277700,204.586716
"2015-04-07",230.279999,231.059998,227.110001,227.179993,202900,201.264511
"2015-04-08",227.169998,228.960007,227,228.149994,237700,202.123825
"2015-04-09",227.470001,227.470001,221.320007,221.889999,274400,196.577942
"2015-04-10",222.649994,224.880005,221.559998,222.190002,206000,196.84375
"2015-04-13",221.470001,224.039993,221.470001,221.860001,233700,196.551392
"2015-04-14",221.860001,224.649994,221.860001,223.020004,185900,197.579056
"2015-04-15",223.139999,223.869995,221.220001,221.580002,278400,196.303314
"2015-04-16",221.119995,224.380005,220.75,223.309998,198300,197.835983
"2015-04-17",222.259995,223.529999,220.949997,222.460007,216000,197.082916
"2015-04-20",222.490005,225,221.800003,223.130005,192700,197.676498
"2015-04-21",224.320007,226.320007,224.119995,225.149994,239100,199.46608
"2015-04-22",224.960007,228.399994,223.990005,226.779999,205400,200.910156
"2015-04-23",226.800003,229.050003,226.800003,227.75,289000,201.769501
"2015-04-24",227.5,228.449997,226.160004,227.009995,330600,201.113861
"2015-04-27",228.759995,230.479996,227.259995,228.029999,452900,202.017502
"2015-04-28",227.690002,229.800003,226.550003,229.5,222900,203.319839
"2015-04-29",227.619995,228.910004,223.949997,224.820007,195700,199.173721
"2015-04-30",223.5,225.740005,220.460007,221.949997,391300,196.631088
"2015-05-01",223.380005,226.649994,223.380005,224.630005,334600,199.005386
"2015-05-04",225.679993,227.279999,225.059998,225.860001,266200,200.095093
"2015-05-05",224.559998,224.899994,219.009995,219.320007,348800,194.301147
"2015-05-06",218.970001,220.830002,218.020004,219.860001,268400,194.779556
"2015-05-07",225.279999,227.080002,220.779999,224.190002,437700,198.615585
"2015-05-08",225.759995,231.440002,225.339996,227.440002,309400,201.494843
"2015-05-11",226.850006,229.550003,220.820007,221.199997,609800,195.966629
"2015-05-12",220.080002,223.139999,218.699997,222.320007,353500,196.958908
"2015-05-13",223.240005,225.729996,218.940002,219.529999,456200,194.487122
"2015-05-14",220.199997,224.75,219.199997,224.639999,365500,199.014282
"2015-05-15",225.470001,226.580002,224.070007,226.300003,390800,200.484894
"2015-05-18",225.110001,226.220001,223.520004,224.889999,213600,199.235718
"2015-05-19",224.470001,225.470001,222.820007,224.050003,218100,198.491547
"2015-05-20",224.619995,225.899994,223.279999,224.229996,696800,198.651031
"2015-05-21",224.270004,224.270004,221.860001,222.210007,273700,196.86145
"2015-05-22",221.899994,223.809998,220.320007,221.809998,207700,196.507065
"2015-05-26",221.789993,222.449997,219.009995,219.399994,350500,194.371994
"2015-05-27",220.389999,224.470001,220.070007,224,283600,198.447296
"2015-05-28",224.029999,225.399994,223.240005,224.979996,251200,199.315445
"2015-05-29",225.270004,225.619995,222.110001,222.619995,525500,197.22467
"2015-06-01",223.169998,226.559998,222.410004,226.259995,275100,200.449432
"2015-06-02",225.369995,225.389999,221.089996,221.770004,389300,196.471634
"2015-06-03",221.529999,223.740005,216.419998,216.770004,343900,192.041977
"2015-06-04",216.039993,217.199997,214.970001,216.080002,387600,191.43074
"2015-06-05",214.389999,216.139999,211.960007,214.460007,322100,189.995514
"2015-06-08",214.960007,216.059998,213.210007,213.889999,206100,189.49054
"2015-06-09",213.509995,214.619995,211.130005,211.509995,309000,187.38205
"2015-06-10",211.710007,215.490005,210.059998,213.470001,355600,189.118454
"2015-06-11",214.449997,215.399994,210.179993,214.270004,378900,189.827225
"2015-06-12",214.479996,215.729996,213.550003,214.369995,223100,189.915817
"2015-06-15",213.669998,214.369995,212.649994,214,227100,189.588028
"2015-06-16",214.169998,216.820007,213.720001,216.440002,226100,191.749664
