"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume","VNO.Adjusted"
"2009-04-22",32.146889,34.546566,31.795715,33.119926,33638200,21.690523
"2009-04-23",33.80764,34.385609,32.556587,34.136864,9873400,22.356525
"2009-04-24",34.385609,36.55117,33.266251,35.69519,13314900,23.377081
"2009-04-27",34.5173,35.095272,32.410267,33.514996,10974700,21.949247
"2009-04-28",32.717541,34.978214,32.629749,34.188076,7677800,22.390059
"2009-04-29",34.319767,36.126839,33.814957,35.592766,9531200,23.310001
"2009-04-30",36.317059,37.055981,35.080639,35.768353,10592300,23.424995
"2009-05-01",35.468391,35.768353,34.275867,34.773361,8994700,22.773369
"2009-05-04",35.717136,38.409458,35.329384,38.380196,9673500,25.135519
"2009-05-05",38.189976,38.431408,36.609699,36.968189,7537000,24.210783
"2009-05-06",37.61932,39.50687,37.370575,39.404446,8618400,25.806313
"2009-05-07",39.50687,39.50687,34.180759,35.080639,10843400,23.193615
"2009-05-08",36.346321,38.007072,35.153801,37.919281,9411200,25.070387
"2009-05-11",36.887711,37.290096,35.987835,36.119522,6801600,23.880466
"2009-05-12",36.536541,37.034035,33.514996,34.736782,8172700,22.966269
"2009-05-13",33.997856,33.997856,31.795715,32.190784,9899500,21.28298
"2009-05-14",32.132256,33.727161,30.94705,33.288197,7950300,22.008541
"2009-05-15",33.149193,33.44915,31.737186,32.439529,9182600,21.447439
"2009-05-18",32.915077,35.73177,32.666328,35.519604,8331500,23.483837
"2009-05-19",34.714836,35.90004,33.873486,34.795311,5931900,23.004963
"2009-05-20",35.600082,36.463379,33.822273,33.990543,6955400,22.472895
"2009-05-21",33.288197,34.641674,32.94434,33.932014,4926400,22.434198
"2009-05-22",33.939327,34.356346,32.841915,32.885811,3760400,21.742496
"2009-05-26",32.988239,35.3367,32.490746,35.058689,7236500,23.179096
"2009-05-27",35.205013,35.205013,32.76144,33.010185,7818300,21.82473
"2009-05-28",33.573524,34.166126,32.359055,34.056385,5366600,22.516424
"2009-05-29",34.210026,34.210026,33.032135,34.136864,7697100,22.569633
"2009-06-01",34.861156,36.938927,34.253922,35.885406,7367400,23.725681
"2009-06-02",35.578133,36.163418,35.066006,35.314754,5525100,23.348392
"2009-06-03",34.992847,35.69519,34.451454,35.109901,4868900,23.212957
"2009-06-04",35.775665,37.275463,34.180759,36.734074,7152900,24.286779
"2009-06-05",37.231567,37.487633,35.307438,35.651295,5461600,23.5709
"2009-06-08",35.468391,36.543858,35.300121,36.141472,5704900,23.894989
"2009-06-09",36.57312,36.624332,35.687874,36.353638,3133500,24.035254
"2009-06-10",36.792603,36.807236,34.407558,35.365967,4997600,23.382257
"2009-06-11",35.131851,35.483025,33.946644,34.092968,4988900,22.540613
"2009-06-12",34.107597,35.534237,33.946644,35.512287,3680400,23.478998
"2009-06-15",34.575829,35.117218,33.544262,33.873486,4845200,22.395498
"2009-06-16",34.546566,34.546566,32.432217,33.054081,4221200,21.853748
"2009-06-17",33.039452,33.354042,31.612814,32.161518,5541300,21.26363
"2009-06-18",32.395634,32.94434,32.051777,32.841915,4123100,21.713469
"2009-06-19",33.258934,33.595474,32.337105,32.995552,4976000,21.815044
"2009-06-22",32.732174,32.805336,30.61051,30.786095,6212500,20.354269
"2009-06-23",31.268957,31.678658,30.566612,31.232376,5421700,20.64933
"2009-06-24",31.532337,32.132256,31.298222,31.707922,3513200,20.963734
"2009-06-25",31.451859,32.410267,31.195797,32.322475,4329700,21.370047
"2009-06-26",32.329788,32.841915,31.817663,32.600487,3955100,21.553856
"2009-06-29",32.768757,33.002869,32.095676,32.520008,3763600,21.500643
"2009-06-30",32.622433,33.244301,32.556587,32.94434,3401800,21.781189
"2009-07-01",33.119926,33.80764,32.995552,33.295513,2640500,22.013371
"2009-07-02",32.600487,32.893127,30.9251,31.078739,5206900,20.54775
"2009-07-06",30.486135,32.044464,30.456871,32.022514,4573400,21.171726
"2009-07-07",31.861561,31.942038,29.908165,30.091066,5287400,19.894753
"2009-07-08",30.595877,30.595877,29.008286,29.966694,5324900,19.812519
"2009-07-09",30.449554,30.500769,29.491148,29.586258,3087500,19.560993
"2009-07-10",29.491148,30.054487,29.103395,29.864269,4037600,19.744801
"2009-07-13",30.186176,31.012894,29.37409,30.903152,5434000,20.431662
"2009-07-14",31.049475,31.290905,30.252022,31.078739,3634400,20.54775
"2009-07-15",31.48844,33.332092,31.48844,32.827282,6093900,21.703802
"2009-07-16",32.527325,33.551575,32.124939,33.236984,3664200,21.97467
"2009-07-17",32.995552,33.13456,31.905457,32.037148,5288100,21.181402
"2009-07-20",32.410267,34.436825,32.40295,34.436825,5952900,22.76796
"2009-07-21",34.839207,35.124535,33.756428,34.722149,4212700,22.956596
"2009-07-22",34.766048,36.009781,34.129547,35.578133,5240500,23.522526
"2009-07-23",35.570816,37.304729,35.219643,36.587753,5746300,24.190044
"2009-07-24",36.492645,37.019402,35.782982,36.968189,3202000,24.441568
"2009-07-27",37.202305,37.312046,36.448746,37.180355,3188800,24.581844
"2009-07-28",36.916977,37.165722,36.646282,36.975506,4420400,24.446405
"2009-07-29",36.375587,36.982822,35.782982,36.346321,3242400,24.030416
"2009-07-30",36.829182,38.204609,36.704811,37.26815,5038400,24.639887
"2009-07-31",36.858448,37.531528,36.156105,37.326679,3782700,24.678589
"2009-08-03",37.685165,38.233871,37.26815,37.911964,3551100,25.065544
"2009-08-04",37.429104,40.018997,36.675545,39.477608,5841600,26.100676
"2009-08-05",39.455658,41.328579,39.141068,40.93351,5406400,27.06324
"2009-08-06",41.035934,42.513783,40.970089,41.028618,5996400,27.126123
"2009-08-07",41.226151,43.69899,41.211521,43.581932,7575300,29.081211
"2009-08-10",43.494141,44.020897,42.696686,43.3405,5355800,28.920109
"2009-08-11",43.186863,43.186863,41.804123,42.308933,4480100,28.231768
"2009-08-12",42.404041,43.603882,42.352829,42.564995,5308200,28.40263
"2009-08-13",42.784477,43.084438,41.672432,42.374779,3526900,28.275709
"2009-08-14",41.943127,42.177242,40.74329,41.877285,3477500,27.943739
"2009-08-17",40.926193,40.926193,38.555779,38.709419,5130800,25.829893
"2009-08-18",38.965481,40.165318,38.724049,39.653194,4296200,26.459658
"2009-08-19",38.811844,39.638561,38.724049,39.462975,2906400,26.332727
"2009-08-20",39.514187,40.823769,39.3386,40.618916,3741300,27.104059
"2009-08-21",41.043251,42.711319,40.823769,41.570007,4286800,27.738705
"2009-08-24",41.730961,42.279667,40.772556,40.962772,3997100,27.333511
"2009-08-25",41.350525,42.301617,41.189571,42.038239,3103600,28.051142
"2009-08-26",41.884602,42.828377,41.496849,42.806427,2847200,28.563742
"2009-08-27",42.967381,42.967381,41.343208,42.46257,4419500,28.334297
"2009-08-28",42.660107,43.018593,41.41637,42.191875,3563000,28.153662
"2009-08-31",41.628536,42.308933,41.27005,42.082134,3591800,28.080421
"2009-09-01",41.78949,42.345512,40.07021,40.179951,5361000,26.811155
"2009-09-02",39.755619,40.318958,39.484924,39.733669,4183000,26.513357
"2009-09-03",40.099476,40.362854,39.075222,39.704407,3884700,26.493832
"2009-09-04",39.755619,40.392117,38.950848,40.275059,3103700,26.874605
"2009-09-08",40.560387,42.023605,40.560387,42.001656,3351800,28.026737
"2009-09-09",42.067501,43.406345,41.431004,43.36245,4408600,28.934757
"2009-09-10",43.033226,44.174534,42.528416,44.006264,3748300,29.364365
"2009-09-11",44.108692,44.474495,43.230759,43.911156,3499300,29.3009
"2009-09-14",43.479507,45.75481,43.19418,45.623119,3327600,30.443247
"2009-09-15",45.60849,47.378983,44.474495,46.581528,5406500,31.082781
"2009-09-16",46.742481,49.625019,46.647373,49.486015,6043300,33.02087
"2009-09-17",49.478699,51.380882,48.89341,49.720131,6704200,33.17709
"2009-09-18",50.020088,50.349312,49.032417,49.866451,4679300,33.274723
"2009-09-21",48.812935,49.376274,48.286175,48.805618,3162000,32.566864
"2009-09-22",49.208004,50.832176,49.134842,50.65659,3699900,33.801956
"2009-09-23",51.007759,51.007759,48.630032,48.659298,4431600,32.469219
"2009-09-24",49.127525,49.500648,46.63274,46.852222,4889700,31.263391
"2009-09-25",46.391308,47.30582,46.091351,46.427891,4388600,30.980255
"2009-09-28",46.749798,49.310429,46.354729,49.237267,5542200,32.854885
"2009-09-29",49.44212,49.603073,47.225342,47.386299,4358300,31.61978
"2009-09-30",47.971584,48.01548,46.369362,47.122917,5321300,31.444023
"2009-10-01",46.859539,47.027809,44.642765,44.737873,6451600,29.852539
"2009-10-02",43.501453,45.674332,43.164917,44.255013,5116700,29.530342
"2009-10-05",44.774456,45.930397,44.481812,45.315845,4271300,30.238209
"2009-10-06",45.710915,46.449837,44.701294,45.403637,4058700,30.296787
"2009-10-07",44.928093,45.469482,44.423283,45.147575,2400800,30.125917
"2009-10-08",45.579224,46.522999,45.389004,45.908447,2700800,30.633648
"2009-10-09",45.827972,46.544949,45.169521,46.508366,2001800,31.033951
"2009-10-12",46.508366,46.96928,45.952343,46.252304,1414300,30.863096
"2009-10-13",45.95966,46.252304,44.993938,45.462166,2476300,30.335855
"2009-10-14",45.857235,47.642361,45.857235,47.32777,4539900,31.58073
"2009-10-15",46.449837,47.064388,46.069401,46.237671,2948200,30.853321
"2009-10-16",45.323162,46.062084,44.262329,44.832985,5540200,29.916014
"2009-10-19",45.22805,46.325466,45.052467,46.230354,3945400,30.848446
"2009-10-20",46.435207,46.435207,44.993938,45.352425,5214400,30.262625
"2009-10-21",45.125626,46.040138,44.233063,44.335487,3901300,29.584045
"2009-10-22",44.364754,45.279263,43.230759,45.162209,4001800,30.135693
