"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2015-01-30",118.400002,120,116.849998,117.160004,83745500,107.971832
"2015-02-02",118.050003,119.169998,116.080002,118.629997,62739100,109.326523
"2015-02-03",118.5,119.089996,117.610001,118.650002,51915700,109.344986
"2015-02-04",118.5,120.510002,118.309998,119.559998,70149700,110.183594
"2015-02-05",120.019997,120.230003,119.25,119.940002,42246200,110.970047
"2015-02-06",120.019997,120.25,118.449997,118.93,43706600,110.035568
"2015-02-09",118.550003,119.839996,118.43,119.720001,38889800,110.76651
"2015-02-10",120.169998,122.150002,120.160004,122.019997,62008500,112.894493
"2015-02-11",122.769997,124.919998,122.5,124.879997,73561800,115.540604
"2015-02-12",126.059998,127.480003,125.57,126.459999,74474500,117.002419
"2015-02-13",127.279999,127.279999,125.650002,127.080002,54272200,117.576057
"2015-02-17",127.489998,128.880005,126.919998,127.830002,63152400,118.269974
"2015-02-18",127.629997,128.779999,127.449997,128.720001,44891700,119.09343
"2015-02-19",128.479996,129.029999,128.330002,128.449997,37362400,118.843582
"2015-02-20",128.619995,129.5,128.050003,129.5,48948400,119.815071
"2015-02-23",130.020004,133,129.660004,133,70974100,123.053322
"2015-02-24",132.940002,133.600006,131.169998,132.169998,69228100,122.285408
"2015-02-25",131.559998,131.600006,128.149994,128.789993,74711700,119.158165
"2015-02-26",128.789993,130.869995,126.610001,130.419998,91287500,120.66629
"2015-02-27",130,130.570007,128.240005,128.460007,62014800,118.852852
"2015-03-02",129.25,130.279999,128.300003,129.089996,48096700,119.435738
"2015-03-03",128.960007,129.520004,128.089996,129.360001,37816300,119.685532
"2015-03-04",129.100006,129.559998,128.320007,128.539993,31666300,118.92688
"2015-03-05",128.580002,128.75,125.760002,126.410004,56517100,116.956177
"2015-03-06",128.399994,129.369995,126.260002,126.599998,72842100,117.131958
"2015-03-09",127.959999,129.570007,125.059998,127.139999,88528500,117.631577
"2015-03-10",126.410004,127.220001,123.800003,124.510002,68856600,115.198265
"2015-03-11",124.75,124.769997,122.110001,122.239998,68939000,113.098038
"2015-03-12",122.309998,124.900002,121.629997,124.449997,48362700,115.142754
"2015-03-13",124.400002,125.400002,122.580002,123.589996,51827300,114.347054
"2015-03-16",123.879997,124.949997,122.870003,124.949997,35874300,115.605362
"2015-03-17",125.900002,127.32,125.650002,127.040001,51023100,117.539047
"2015-03-18",127,129.160004,126.370003,128.470001,65270900,118.862114
"2015-03-19",128.75,129.25,127.400002,127.5,45809500,117.964661
"2015-03-20",128.25,128.399994,125.160004,125.900002,68695100,116.484314
