"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume","EQT.Adjusted"
"2015-02-12",44.980946,45.051716,43.663582,43.957539,2433600,42.997219
"2015-02-13",44.458355,44.540012,43.55471,44.191616,2105000,43.226181
"2015-02-17",43.886772,44.654327,43.756123,44.414806,2895800,43.4445
"2015-02-18",44.033752,44.844856,43.799675,44.148067,3285200,43.183586
"2015-02-19",42.618401,45.247688,42.618401,44.409363,2153100,43.439178
"2015-02-20",44.425694,45.062603,43.783344,44.164398,2701100,43.199562
"2015-02-23",43.598259,44.485573,43.445835,43.63092,2402200,42.677734
"2015-02-24",43.908546,44.578117,43.434948,44.507347,2765700,43.535019
"2015-02-25",44.610779,45.43277,44.202503,45.416439,2484300,44.424255
"2015-02-26",45.106152,45.285793,43.233532,43.418617,3190300,42.470062
"2015-02-27",43.701687,43.761566,43.255306,43.445835,1963700,42.496704
"2015-03-02",43.543823,44.333153,43.347851,43.91399,2724000,42.954628
"2015-03-03",43.881329,45.323898,43.772453,44.763203,3270000,43.785282
"2015-03-04",44.844856,44.877518,43.391399,44.011974,2155500,43.050472
"2015-03-05",43.821449,44.011974,43.249863,43.848667,1876800,42.890732
"2015-03-06",43.353294,43.794231,43.119217,43.293415,1410200,42.347607
"2015-03-09",43.021229,43.157322,41.927055,41.927055,2619100,41.011101
"2015-03-10",41.671204,41.94883,41.23571,41.475231,2208000,40.569149
"2015-03-11",41.502449,42.389767,41.143169,42.210125,3006800,41.287979
"2015-03-12",42.319,42.47142,41.491562,41.513336,2375600,40.606415
"2015-03-13",41.154057,41.53511,40.696789,41.497005,2141300,40.590446
"2015-03-16",41.164944,42.123028,41.099621,42.106697,1838200,41.186813
"2015-03-17",42.063145,42.574852,41.878063,42.150246,2015000,41.229408
"2015-03-18",41.790962,43.26075,41.66576,43.015785,2276000,42.076042
"2015-03-19",42.297222,42.841591,42.139359,42.694611,1422300,41.76189
"2015-03-20",42.994011,43.674469,42.912357,42.961349,3238400,42.022793
"2015-03-23",43.097443,43.48394,42.847034,42.852478,1310800,41.916302
"2015-03-24",43.015785,43.53838,42.830704,43.364182,1324200,42.416821
"2015-03-25",43.663582,44.463799,43.266193,44.142624,1827900,43.178265
"2015-03-26",44.735981,44.964615,43.336964,43.511158,1607000,42.560593
"2015-03-27",43.162766,43.886772,42.890583,43.587372,1600300,42.635143
"2015-03-30",43.935764,45.089821,43.772453,45.019054,1979100,44.035542
"2015-03-31",44.529125,45.416439,44.278717,45.111595,2451100,44.126076
"2015-04-01",45.378334,45.93903,44.806751,45.07349,2184500,44.088799
