"","AA.Open","AA.High","AA.Low","AA.Close","AA.Volume","AA.Adjusted"
"2011-04-12",40.634731,41.091301,39.721588,40.1301,33834000,37.547752
"2011-04-13",40.538609,40.610699,39.361141,39.76965,16771900,37.210487
"2011-04-14",40.009949,40.226219,39.52935,39.76965,12455800,37.210487
"2011-04-15",39.84174,39.91383,39.505322,39.697559,7398500,37.143028
"2011-04-18",39.31308,39.337109,38.159641,38.760391,14666600,36.266182
"2011-04-19",38.952629,39.60144,38.832481,39.505322,9890600,36.963169
"2011-04-20",40.250252,40.370399,39.91383,39.98592,10894600,37.412838
"2011-04-21",39.84174,40.923092,39.76965,40.778912,9899600,38.154808
"2011-04-25",40.706821,40.80294,40.033981,40.58667,6482000,37.974934
"2011-04-26",40.706821,40.995178,40.274281,40.923092,7612100,38.2897
"2011-04-27",41.091301,41.3316,40.250252,41.283539,7667700,38.626965
"2011-04-28",41.067268,41.427719,40.778912,41.067268,7420000,38.42461
"2011-04-29",40.995178,41.139359,40.154129,40.851002,8614200,38.222263
"2011-05-02",41.499809,41.980412,41.283539,41.379662,11395300,38.716908
"2011-05-03",41.25951,43.157879,41.163391,42.46101,31226300,39.728664
"2011-05-04",42.653252,42.701309,41.18742,41.980412,22015900,39.27898
"2011-05-05",41.307571,42.07653,40.44249,40.875031,17689300,38.24474
"2011-05-06",41.547871,41.740108,40.778912,41.211449,11306100,38.559513
"2011-05-09",41.235481,42.24474,40.971149,42.124592,8539400,39.413887
"2011-05-10",42.100559,42.340858,41.499809,42.100559,7414400,39.391415
"2011-05-11",41.884289,41.980412,40.851002,40.971149,11229200,38.334682
"2011-05-12",40.58667,41.523842,40.250252,41.211449,9117800,38.62748
"2011-05-13",41.067268,41.3316,40.370399,41.091301,10137300,38.514851
"2011-05-16",40.851002,41.547871,40.490551,40.65876,7434700,38.109444
"2011-05-17",40.394428,40.706821,39.144871,39.52935,15834200,37.050854
"2011-05-18",39.625469,40.178162,39.216961,40.106071,7318100,37.591419
"2011-05-19",40.322338,40.73085,39.793678,40.05801,8272700,37.546364
"2011-05-20",39.91383,40.106071,39.072781,39.072781,10321500,36.622898
"2011-05-23",38.351879,38.664268,38.03949,38.39994,9624700,35.99226
"2011-05-24",38.64024,39.1689,38.135609,38.71233,8620500,36.285049
"2011-05-25",38.616211,39.337109,38.448002,39.24099,6422200,36.780571
"2011-05-26",38.952629,39.553379,38.688301,39.337109,7467000,36.870655
"2011-05-27",39.553379,39.76965,39.409199,39.60144,4778900,37.118431
"2011-05-31",40.20219,40.44249,39.60144,40.394428,7744800,37.861679
"2011-06-01",39.961891,40.05801,38.616211,38.664268,8758400,36.240009
"2011-06-02",38.85651,39.481289,38.520088,38.9286,8193500,36.487774
"2011-06-03",38.18367,38.688301,37.895309,38.25576,7407100,35.857117
"2011-06-06",38.25576,38.375912,37.36665,37.51083,6861500,35.158897
"2011-06-07",37.823219,38.520088,37.703072,37.703072,8937800,35.339085
