"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2014-08-05",86.623154,87.976936,86.365746,86.985435,4497800,77.731728
"2014-08-06",86.146469,86.766159,85.974861,86.337143,4076700,77.15242
"2014-08-07",86.747093,87.137978,86.365746,86.718491,3764100,77.493172
"2014-08-08",86.861496,88.463158,86.64222,88.386887,3066600,78.984085
"2014-08-11",88.663368,89.464195,88.625229,88.815903,2949300,79.367455
"2014-08-12",88.49176,89.178185,88.234352,88.57756,2304600,79.15448
"2014-08-13",88.930305,89.950417,88.739632,89.874146,2345800,80.313126
"2014-08-14",90.064819,90.35083,89.874146,89.988548,2053000,80.415367
"2014-08-15",90.083885,90.360367,89.140053,89.836014,3626900,80.279045
"2014-08-18",90.207825,90.951454,90.179222,90.817978,2969600,81.156555
"2014-08-19",90.636841,90.713112,90.255493,90.303162,2510700,81.098351
"2014-08-20",90.608238,91.50441,90.179222,91.304199,2697900,81.997337
"2014-08-21",91.50441,91.838089,91.084923,91.46627,1585700,82.142899
"2014-08-22",91.275597,91.418602,90.808449,91.103989,1520300,81.817535
"2014-08-25",91.561607,91.685547,91.246994,91.342331,1243600,82.031593
"2014-08-26",91.418602,91.561607,91.008652,91.05632,1596900,81.774734
"2014-08-27",91.285133,91.418602,90.837051,91.113525,1367600,81.826103
"2014-08-28",90.703575,90.951454,90.284096,90.856117,991900,81.594933
"2014-08-29",90.903786,91.113525,90.408035,90.789383,1227700,81.534988
"2014-09-02",90.741714,91.323265,90.627304,91.046791,1754500,81.766174
"2014-09-03",91.389999,91.475807,90.817978,91.008652,1407500,81.731926
"2014-09-04",91.027725,91.542542,90.398499,90.56057,2644700,81.329529
"2014-09-05",90.56057,91.342331,90.093422,91.151657,2017300,81.860352
"2014-09-08",91.084923,91.170731,90.551041,90.798912,2120700,81.543564
"2014-09-09",90.608238,90.837051,89.931351,90.055283,2349900,80.87574
"2014-09-10",89.931351,90.198288,89.426064,89.959946,2619200,80.790123
"2014-09-11",89.740677,90.369896,89.559532,90.322227,1604600,81.115456
"2014-09-12",90.341293,90.551041,89.874146,90.093422,3172300,80.909988
"2014-09-15",89.912277,90.408035,89.397461,90.236427,2844000,81.038414
"2014-09-16",90.064819,90.589172,89.511864,90.43663,2347000,81.218208
"2014-09-17",90.722641,91.50441,90.47477,91.084923,3286800,81.800415
"2014-09-18",91.523476,92.00016,91.208862,91.895287,2765000,82.528191
"2014-09-19",92.2099,92.41011,91.752281,92.00016,5652300,82.622368
"2014-09-22",91.351868,91.838089,90.15062,90.284096,2339900,81.08123
"2014-09-23",89.950417,90.026688,88.968445,89.035179,3502700,79.95961
"2014-09-24",88.958908,89.635803,88.892174,89.454666,2463900,80.336349
"2014-09-25",89.168655,89.273521,88.024605,88.091347,2374800,79.111984
"2014-09-26",88.119942,88.997047,87.948341,88.949379,2509600,79.882553
"2014-09-29",88.119942,89.454666,88.053207,89.168655,3204100,80.079475
"2014-09-30",89.073311,89.349792,88.348755,88.777771,2687900,79.728432
"2014-10-01",88.425026,88.520363,87.042641,87.385849,4676400,78.478401
"2014-10-02",87.319115,87.58606,86.089272,86.871033,2857800,78.01606
"2014-10-03",87.614662,87.814865,86.899635,87.433517,2667500,78.521217
"2014-10-06",87.786263,88.415489,87.385849,87.662331,2509700,78.726692
"2014-10-07",86.918701,87.099838,85.555382,85.60305,2717000,76.877327
"2014-10-08",85.68885,87.25238,85.116829,87.185646,3625000,78.298607
"2014-10-09",87.118904,87.309578,85.326576,85.583984,2822800,76.860207
"2014-10-10",85.374245,85.60305,83.791649,83.801178,4877500,75.259125
"2014-10-13",83.915588,84.373199,81.570297,81.665634,4323400,73.341255
"2014-10-14",81.989777,82.905014,81.713303,82.170921,5896600,73.795044
"2014-10-15",81.198479,81.722839,79.024803,81.141281,8298100,72.870369
"2014-10-16",79.82563,82.752472,79.587288,82.361595,6304900,73.966301
"2014-10-17",85.06916,86.546883,84.745018,85.860458,8219000,77.10849
"2014-10-20",85.183563,85.822327,84.821289,85.803261,4734000,77.057137
"2014-10-21",86.375282,88.6157,86.375282,88.587097,4761600,79.557205
"2014-10-22",89.19725,89.406998,86.880562,86.909164,5510500,78.050301
"2014-10-23",88.472694,90.093422,88.282021,89.216324,4279800,80.122284
"2014-10-24",89.178185,90.427101,88.863571,90.284096,2793800,81.08123
"2014-10-27",89.797874,90.007614,88.901711,89.330727,4323000,80.225029
"2014-10-28",89.998085,90.941917,89.759743,90.732178,3340500,81.483635
"2014-10-29",90.798912,91.275597,89.969482,90.617775,2731900,81.380905
"2014-10-30",89.998085,91.542542,89.759743,91.132591,2404400,81.843224
"2014-10-31",92.41011,92.457779,91.409073,91.637878,4191000,82.29702
"2014-11-03",91.761818,91.761818,90.980057,91.199326,3241900,81.903168
"2014-11-04",91.237465,91.389999,90.455704,90.846581,2822800,81.586372
"2014-11-05",91.828552,92.371971,91.237465,92.200363,2912600,82.802162
"2014-11-06",92.371971,92.448242,91.647415,92.200363,3165600,82.802162
"2014-11-07",92.190834,92.457779,91.647415,92.257568,2480600,82.853539
"2014-11-10",92.352905,92.839127,91.895287,92.734253,1917400,83.281647
"2014-11-11",92.667519,93.048866,92.228966,92.457779,1295200,83.033325
"2014-11-12",91.866684,92.648453,91.838089,92.486374,1899200,83.059021
"2014-11-13",92.514977,93.23954,92.228966,92.534042,2536500,83.101814
"2014-11-14",92.610313,92.772385,92.076431,92.276634,1413900,82.870659
"2014-11-17",91.695084,92.143166,91.695084,92.028763,1826500,82.648064
"2014-11-18",91.761818,92.70565,91.609276,92.314774,2336600,83.373749
"2014-11-19",92.066895,92.190834,91.523476,92.066895,1415600,83.149872
"2014-11-20",91.656944,92.362442,91.38047,92.219437,1822400,83.287643
"2014-11-21",93.182335,93.821098,93.058403,93.64949,3494100,84.579201
"2014-11-24",93.94503,94.250114,93.392082,93.687622,2050400,84.613625
"2014-11-25",93.678093,94.583794,93.573219,94.26918,2925300,85.138847
"2014-11-26",94.517052,94.593323,94.259644,94.459854,2289600,85.31105
"2014-11-28",94.621925,94.717262,94.326378,94.450317,1624700,85.302444
"2014-12-01",94.002235,94.297783,92.781921,92.858192,3191200,83.864525
"2014-12-02",92.924927,93.296745,92.696121,93.296745,1767900,84.260605
"2014-12-03",93.563683,95.394157,93.563683,95.30835,2817400,86.077385
"2014-12-04",95.193947,95.193947,94.154778,94.631462,1999900,85.466042
"2014-12-05",94.97467,95.489494,94.745865,95.041405,1544200,85.836296
"2014-12-08",94.736328,95.127213,93.973633,94.145241,1645700,85.026924
"2014-12-09",92.943993,94.774467,92.905861,94.68866,1798800,85.517685
"2014-12-10",94.56472,94.621925,92.858192,92.953529,2504800,83.950623
"2014-12-11",93.144203,93.906898,93.020264,93.32534,2321500,84.286423
"2014-12-12",92.572182,92.943993,91.370934,91.409073,2479100,82.555756
"2014-12-15",92.505447,92.791458,90.922852,91.342331,3485000,82.495499
"2014-12-16",91.437668,93.487419,91.342331,91.885757,4235800,82.986267
"2014-12-17",91.904823,93.268143,91.132591,93.106071,5152700,84.088394
"2014-12-18",94.345451,95.937576,94.06897,95.937576,3835800,86.64566
"2014-12-19",95.966179,97.005348,95.756432,96.442863,4631600,87.102005
