"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2008-12-30",24.957687,25.073895,24.537556,25.047077,2456500,17.376066
"2008-12-31",25.047077,25.404638,24.85936,25.190102,2433900,17.475288
"2009-01-02",25.467211,26.602465,24.877237,26.405806,2874500,18.318668
"2009-01-05",26.155514,26.423683,25.386761,25.690685,3064900,17.822565
"2009-01-06",26.003551,26.227026,25.073895,25.869467,3595800,17.946589
"2009-01-07",25.252674,25.56554,24.403469,24.546494,3795100,17.147297
"2009-01-08",24.367714,25.199041,23.741983,24.698458,3696300,17.253452
"2009-01-09",24.662701,24.75209,23.795618,23.849253,1927500,16.660227
"2009-01-12",23.688351,24.03697,22.544159,22.982168,3538700,16.05452
"2009-01-13",23.411242,23.831373,22.553097,22.937473,2487500,16.023298
"2009-01-14",22.177658,22.35644,21.516172,21.811159,3294700,15.236489
"2009-01-15",21.891611,22.982168,21.122856,22.472647,3195200,15.698581
"2009-01-16",22.901718,23.33079,22.293865,23.214582,3042100,16.216869
"2009-01-20",23.07156,23.25034,20.845749,21.051346,3286000,14.705717
"2009-01-21",21.203308,22.365377,21.069223,22.25811,3431100,15.548716
"2009-01-22",22.615669,24.85936,21.954184,24.1353,5063200,16.86005
"2009-01-23",23.464874,24.162117,23.232462,23.804558,2860000,16.629005
"2009-01-26",23.974398,24.966627,23.741983,24.269384,2472900,16.953718
"2009-01-27",24.466043,25.0292,24.099545,24.76103,2419500,17.297165
"2009-01-28",25.234797,25.556601,24.76997,25.136469,3239600,17.559433
"2009-01-29",24.412409,24.993444,24.224689,24.466043,2715900,17.091091
"2009-01-30",24.376654,24.546494,23.178827,23.438059,2485000,16.372992
"2009-02-02",22.794451,23.679411,22.713999,23.402302,2219300,16.348013
"2009-02-03",23.411242,24.439226,22.740816,24.162117,2584200,16.87879
"2009-02-04",24.162117,25.422516,23.768801,24.93087,5641900,17.415812
"2009-02-05",24.868298,25.520845,24.689518,25.431456,2680900,17.765499
"2009-02-06",25.467211,26.173391,25.225859,25.64599,2867300,17.915367
"2009-02-09",25.610235,25.672808,24.823603,25.56554,2102100,17.859173
"2009-02-10",25.288431,25.56554,24.1353,24.349836,3713100,17.009918
"2009-02-11",24.626945,25.377821,24.483921,25.190102,3804400,17.596895
"2009-02-12",24.582251,26.262781,24.582251,26.164454,5790800,18.277548
"2009-02-13",25.914162,26.53989,25.556601,26.209148,4875800,18.308765
"2009-02-17",25.306309,25.502968,24.680578,25.011322,5175000,17.472012
"2009-02-18",25.109652,25.440393,24.394531,24.67164,4591700,17.234718
"2009-02-19",25.011322,25.708565,24.251507,24.349836,3200300,17.009918
"2009-02-20",23.96546,25.502968,23.893948,25.234797,6426300,17.628122
"2009-02-23",25.494028,25.9231,24.430286,24.483921,4891500,17.103588
"2009-02-24",24.626945,25.467211,24.483921,25.359943,5240700,17.715544
"2009-02-25",25.181164,25.699625,24.707396,25.127529,4673700,17.553183
"2009-02-26",25.520845,25.520845,23.2414,23.545326,7063700,16.44792
"2009-02-27",23.232462,24.528616,23.080498,24.260447,5522500,16.947481
"2009-03-02",23.822435,24.1353,22.785511,22.991108,4859100,16.060757
"2009-03-03",23.134132,23.652594,22.177658,22.562037,4256500,15.761029
"2009-03-04",23.06262,23.464874,22.597792,22.785511,4414500,15.917134
"2009-03-05",22.33856,23.008986,21.686014,22.106148,5147600,15.442556
"2009-03-06",22.302805,22.910658,21.551929,22.222355,4477400,15.523737
"2009-03-09",21.837976,22.508402,21.650257,21.739649,2862100,15.186536
"2009-03-10",22.150843,24.314079,21.909489,24.108482,5182100,16.841318
"2009-03-11",23.169888,24.430286,23.169888,23.94758,4643800,16.72892
"2009-03-12",23.929703,25.529783,23.911825,25.136469,5358400,17.559433
"2009-03-13",25.216919,25.815832,24.689518,25.56554,3989100,17.859173
"2009-03-16",25.83371,26.799122,25.637053,25.726442,5783400,17.971567
"2009-03-17",25.672808,26.72761,25.342066,26.72761,5768600,18.67095
"2009-03-18",29.963528,32.242973,29.605968,32.064194,19930300,22.398895
"2009-03-19",31.885412,32.350243,30.696526,31.232866,6722000,21.818153
"2009-03-20",31.232866,31.232866,29.686419,30.285332,5855600,21.156244
"2009-03-23",30.732283,32.323425,30.21382,32.323425,5568700,22.579983
"2009-03-24",31.813902,32.69886,30.714403,30.75016,5153700,21.480953
"2009-03-25",31.259684,31.91223,30.222759,31.438463,5039600,21.961784
"2009-03-26",31.706633,33.6017,31.572548,33.083241,5459200,23.110764
"2009-03-27",32.278728,32.582657,31.572548,31.653,3900800,22.111647
"2009-03-30",31.232866,31.313316,30.669708,31.241804,3903700,21.8244
"2009-03-31",31.501036,31.876474,29.963528,30.625013,3720700,21.393536
"2009-04-01",30.401539,31.492098,30.052917,31.197109,3733600,21.79318
"2009-04-02",31.965864,33.011726,31.456341,32.430691,3274600,22.654913
"2009-04-03",32.153584,32.618412,31.706633,32.618412,3120900,22.786047
"2009-04-06",32.296608,32.573715,31.706633,32.028439,3168100,22.373913
"2009-04-07",32.099949,32.269791,30.598198,30.633953,4493400,21.519899
"2009-04-08",30.705465,32.082069,30.705465,32.028439,3295500,22.499504
"2009-04-09",32.824009,33.574883,32.242973,33.110058,3058600,23.259331
