"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2011-06-30",33.529999,33.849998,33.439999,33.439999,1524400,30.06032
"2011-07-01",33.610001,34.009998,33.419998,33.915001,1640800,30.487318
"2011-07-05",34.095001,35.91,33.919998,35.764999,2947800,32.150337
"2011-07-06",35.689999,36.299999,35.48,35.84,1860000,32.217762
"2011-07-07",36.25,36.544998,35.75,36.130001,1650600,32.478455
"2011-07-08",35.66,36.014999,35.285,35.855,1228400,32.231243
"2011-07-11",35.560001,35.724998,34.665001,34.869999,1545000,31.345785
"2011-07-12",34.674999,35.275002,34.455002,34.875,1743600,31.350279
"2011-07-13",35.040001,35.650002,34.985001,35.150002,950200,31.597492
"2011-07-14",35.240002,35.470001,34.314999,34.535,1142600,31.044645
"2011-07-15",34.68,34.91,34.130001,34.584999,1090800,31.089598
"2011-07-18",34.535,34.665001,34.075001,34.23,826800,30.770479
"2011-07-19",34.580002,35.950001,34.264999,34.950001,2348400,31.417702
"2011-07-20",35.365002,35.455002,34.439999,35.334999,2210800,31.763802
"2011-07-21",33.134998,34.25,32.75,33.544998,6414600,30.154703
"2011-07-22",33.445,34.235001,33.375,34,1724400,30.563713
"2011-07-25",33.735001,34.220001,33.365002,33.509998,1796000,30.12324
"2011-07-26",33.485001,34.014999,33.369999,33.654999,1602800,30.253584
"2011-07-27",33.935001,33.965,33.125,33.150002,1869800,29.799623
"2011-07-28",33.125,33.645,32.720001,32.82,1338000,29.502977
"2011-07-29",32.465,33.185001,31.92,32.959999,1460800,29.628826
"2011-08-01",33.174999,33.314999,32.105,32.945,1608400,29.615341
"2011-08-02",32.639999,32.91,31.215,31.25,1920000,28.091654
"2011-08-03",31.299999,31.959999,30.25,31.84,2062600,28.622026
"2011-08-04",31.32,31.764999,30.355,30.385,2011400,27.314077
"2011-08-05",30.48,31.004999,28.865,29.445,2678000,26.469082
"2011-08-08",26.555,28.27,24.51,26.825001,4375000,24.11388
"2011-08-09",26.5,28.875,26.290001,28.825001,2051000,25.911737
"2011-08-10",28.23,29.155001,27.655001,28.18,1330200,25.331926
"2011-08-11",28.4,29.5,28.1,28.959999,2117200,26.144428
"2011-08-12",29.235001,29.690001,28.6,29.389999,1891800,26.532619
"2011-08-15",29.57,29.85,29.049999,29.83,976200,26.92985
"2011-08-16",29.620001,29.65,29.01,29.405001,880600,26.546162
"2011-08-17",29.67,29.809999,28.700001,29.094999,1344200,26.26631
"2011-08-18",28.305,28.375,27.295,27.610001,1516800,24.92568
"2011-08-19",27.209999,27.985001,26.555,26.719999,1775600,24.122211
"2011-08-22",26.674999,27.52,26.674999,27.18,1366800,24.537487
"2011-08-23",27.34,28.855,27.049999,28.825001,1233400,26.022551
"2011-08-24",28.799999,29.495001,28.51,29.459999,1097200,26.595814
"2011-08-25",29.825001,30.075001,28.725,28.764999,901800,25.96839
"2011-08-26",28.57,29.870001,28.014999,29.67,1193000,26.785402
"2011-08-29",30.07,30.495001,29.825001,30.48,687800,27.516644
"2011-08-30",30.25,30.834999,29.955,30.41,1061000,27.453455
"2011-08-31",30.575001,31.045,30.275,30.684999,1026000,27.701721
"2011-09-01",30.785,31.625,30.469999,30.59,1365800,27.615953
"2011-09-02",29.965,30.344999,29.73,29.82,694800,26.920813
"2011-09-06",29.514999,30.004999,28.365,29.93,932400,27.020126
"2011-09-07",30.48,31.309999,30.285,31.285,964800,28.243387
"2011-09-08",31.014999,32.105,30.834999,31.75,1599200,28.663177
"2011-09-09",31.450001,32.450001,31.01,32.355,2190400,29.209358
"2011-09-12",31.825001,33.150002,31.825001,33.110001,2031400,29.890957
"2011-09-13",33.134998,33.945,32.889999,33.82,2140400,30.531927
"2011-09-14",34.025002,34.490002,32.965,33.650002,2118200,30.37846
"2011-09-15",33.915001,34.240002,33.630001,33.990002,1455000,30.6854
"2011-09-16",34.16,34.825001,33.674999,34.419998,1691400,31.073595
"2011-09-19",33.764999,34.974998,32.935001,34.775002,1900800,31.394077
"2011-09-20",34.974998,35.049999,33.619999,33.700001,1762400,30.423597
"2011-09-21",33.705002,34.220001,33.014999,33.055,1356800,29.841299
"2011-09-22",32.169998,33.23,31.504999,32.32,1649800,29.177761
"2011-09-23",32.154999,33.445,32.055,33.27,1258800,30.035391
"2011-09-26",33.470001,33.895,33.215,33.875,1011000,30.581575
"2011-09-27",34.490002,34.794998,33.505001,33.715,1141800,30.437132
"2011-09-28",33.834999,34.189999,33.105,33.18,1106400,29.954138
"2011-09-29",33.889999,34.200001,32.34,33.564999,1226000,30.301716
"2011-09-30",33.130001,33.205002,31.26,31.264999,2525400,28.225328
"2011-10-03",31.01,31.16,29.945,30.115,1878000,27.187136
"2011-10-04",29.555,31.610001,29.245001,31.555,2226400,28.487135
"2011-10-05",31.605,31.725,30.705,31.530001,1263800,28.464569
"2011-10-06",31.52,32.700001,31.450001,32.404999,1011000,29.254501
"2011-10-07",32.564999,33.365002,32.145,32.875,1001000,29.678795
"2011-10-10",33.150002,33.950001,32.794998,33.349998,952200,30.107618
"2011-10-11",33.215,33.314999,32.645,33.040001,1024800,29.827768
"2011-10-12",33.23,33.494999,32.814999,32.990002,1087600,29.782631
"2011-10-13",32.84,33.994999,32.555,33.57,1117400,30.306234
"2011-10-14",33.599998,33.974998,32.924999,33.709999,1180600,30.432619
"2011-10-17",33.610001,34.970001,33.610001,34.025002,2375200,30.716995
"2011-10-18",34.195,34.375,33.345001,33.974998,1178600,30.671858
"2011-10-19",33.849998,34.029999,32.849998,33.139999,2398400,29.918039
"2011-10-20",34.490002,36.290001,33.98,35.82,6285200,32.337475
"2011-10-21",36.5,36.764999,35.939999,36.73,3099200,33.159004
"2011-10-24",36.904999,36.985001,36.759998,36.875,2214800,33.289917
"2011-10-25",36.75,36.884998,36,36.095001,1013400,32.585758
"2011-10-26",36.555,36.555,35.075001,36.205002,1469800,32.685047
"2011-10-27",37.255001,37.255001,36.375,36.825001,1940200,33.244774
"2011-10-28",36.505001,36.990002,35.310001,35.595001,2357600,32.134354
"2011-10-31",35.275002,36.189999,35.099998,35.470001,1414000,32.021519
"2011-11-01",34.68,35.959999,33.075001,35.494999,3271400,32.044075
"2011-11-02",36.084999,36.52,35.669998,36.310001,1202600,32.779839
"2011-11-03",36.625,36.685001,35.314999,36.384998,1010200,32.847546
"2011-11-04",36.105,36.445,35.75,36.384998,633200,32.847546
"2011-11-07",36.494999,37.215,35.955002,36.555,1231000,33.001026
"2011-11-08",36.810001,36.869999,35.599998,36.799999,988200,33.222206
"2011-11-09",36.009998,36.619999,35.625,35.720001,1158000,32.352699
"2011-11-10",36.18,36.240002,35.709999,36.095001,835400,32.692356
"2011-11-11",36.514999,37.419998,36.16,37.25,1338800,33.738472
"2011-11-14",37.27,37.705002,36.924999,37.200001,1211000,33.693184
"2011-11-15",37.154999,37.875,36.724998,37.700001,1008200,34.146057
"2011-11-16",37.514999,39.110001,37.174999,37.299999,2980200,33.783764
"2011-11-17",37.255001,37.505001,36.134998,36.299999,1542400,32.878017
"2011-11-18",36.490002,36.494999,35.584999,36.134998,1235800,32.72858
"2011-11-21",35.605,36.095001,35.345001,35.889999,1146000,32.506672
"2011-11-22",35.700001,36.294998,35.5,35.825001,1175200,32.447796
"2011-11-23",35.549999,35.865002,35.099998,35.125,935800,31.813799
"2011-11-25",35.09,35.25,33.799999,33.84,1156800,30.649923
"2011-11-28",34.950001,35.689999,34.395,34.424999,2032200,31.179777
"2011-11-29",34.509998,35.165001,34.290001,35,1915400,31.700581
"2011-11-30",37.055,37.415001,35.599998,36.115002,1916600,32.710468
"2011-12-01",35.990002,36.505001,35.805,36.115002,785400,32.710468
"2011-12-02",36.615002,36.615002,35.950001,36.099998,1629200,32.69688
"2011-12-05",36.564999,37.32,36.285,36.990002,1320800,33.502983
"2011-12-06",37.095001,37.150002,36.439999,36.68,773000,33.222206
"2011-12-07",36.505001,37.355,36.154999,37.169998,1183000,33.666008
"2011-12-08",36.880001,37.244999,36.404999,36.470001,951400,33.031986
"2011-12-09",36.5,37.740002,36.474998,37.634998,971000,34.087173
"2011-12-12",37.424999,37.424999,36.735001,37.095001,983000,33.59808
"2011-12-13",37.285,37.625,36.115002,36.380001,1215800,32.950489
"2011-12-14",36.139999,36.169998,34.875,35.325001,1844400,31.994947
"2011-12-15",35.654999,36.09,35.490002,35.75,1581400,32.379875
"2011-12-16",35.860001,36.485001,35.73,36.41,1655200,32.97765
"2011-12-19",36.544998,36.865002,35.605,35.779999,862800,32.407043
"2011-12-20",36.110001,36.474998,35.830002,36.375,1257000,32.94595
"2011-12-21",36.259998,36.305,35.75,36.215,744800,32.801044
"2011-12-22",36.220001,36.244999,35.334999,35.404999,1071800,32.067387
"2011-12-23",35.5,35.724998,34.955002,35.48,822800,32.135323
"2011-12-27",35.490002,36.16,35.375,36.025002,718000,32.628948
"2011-12-28",36.095001,36.400002,35.720001,35.849998,776600,32.470444
"2011-12-29",35.945,36.040001,35.59,35.674999,526600,32.311939
"2011-12-30",35.744999,35.759998,35.025002,35.075001,775000,31.768503
"2012-01-03",35.415001,35.705002,34.27,34.73,2255800,31.456026
"2012-01-04",34.630001,35.014999,34.355,34.685001,1298800,31.415268
"2012-01-05",34.5,34.91,34.25,34.709999,1657400,31.437908
"2012-01-06",34.654999,35.389999,34.580002,34.855,1246000,31.569233
"2012-01-09",34.889999,35.599998,34.869999,35.299999,955600,31.972292
